"","SRR15885102","SRR15885103","SRR15885104","SRR15885105","SRR15885106","SRR15885107","SRR15885108","SRR15885109","SRR15885110","SRR15885111","SRR15885112","SRR15885113","SRR15885114","SRR15885115","SRR15885116","SRR15885117","SRR15885118","SRR15885119","SRR15885120","SRR15885121","SRR15885122","SRR15885123","SRR15885124","SRR15885125","SRR15885126","SRR15885127","SRR15885128","SRR15885129","SRR15885130","SRR15885131","SRR15885132","SRR15885133","SRR15885134","SRR15885135","SRR15885136","SRR15885137","SRR15885138","SRR15885139","SRR15885140","SRR15885141","SRR15885142","SRR15885143","SRR15885144","SRR15885145","SRR15885146","SRR15885147","SRR15885148","SRR15885149","SRR15885150","SRR15885151","SRR15885152","SRR15885153","SRR15885154","SRR15885155","SRR15885156","SRR15885157","SRR15885158","SRR15885159","SRR15885160","SRR15885161","SRR15885162","SRR15885163","SRR15885164","SRR15885165","SRR15885166","SRR15885167","SRR15885168","SRR15885169","SRR15885170","SRR15885171","SRR15885172","SRR15885173","SRR15885174","SRR15885175","SRR15885176","SRR15885177","SRR15885178","SRR15885179","SRR15885180","SRR15885181","SRR15885182","SRR15885183","SRR15885184","SRR15885185","SRR15885186","SRR15885187","SRR15885188","SRR15885189","SRR15885190","SRR15885191","SRR15885192","SRR15885193","SRR15885194","SRR15885195","SRR15885196","SRR15885197","SRR15885198","SRR15885199","SRR15885200","SRR15885201","SRR15885202","SRR15885203","SRR15885204","SRR15885205","SRR15885206","SRR15885207","SRR15885208","SRR15885209","SRR15885210","SRR15885211","SRR15885212","SRR15885213","SRR15885214","SRR15885215","SRR15885216","SRR15885217","SRR15885218","SRR15885219","SRR15885220","SRR15885221","SRR15885222","SRR15885223","SRR15885224","SRR15885225","SRR15885226","SRR15885227","SRR15885228","SRR15885229","SRR15885230","SRR15885231","SRR15885232","SRR15885233","SRR15885234","SRR15885235","SRR15885236","SRR15885237","SRR15885238","SRR15885239","SRR15885240","SRR15885241","SRR15885242","SRR15885243","SRR15885244","SRR15885245","SRR15885246","SRR15885247","SRR15885248","SRR15885249","SRR15885250","SRR15885251","SRR15885252","SRR15885253","SRR15885254","SRR15885255","SRR15885256","SRR15885257","SRR15885258","SRR15885259","SRR15885260","SRR15885261","SRR15885262","SRR15885263","SRR15885264","SRR15885265","SRR15885266","SRR15885267","SRR15885268","SRR15885269","SRR15885270","SRR15885271","SRR15885272","SRR15885273","SRR15885274","SRR15885275","SRR15885276","SRR15885277","SRR15885278","SRR15885279","SRR15885280","SRR15885281","SRR15885282","SRR15885283","SRR15885284","SRR15885285","SRR15885286","SRR15885287","SRR15885288","SRR15885289","SRR15885290","SRR15885291","SRR15885292","SRR15885293","SRR15885294","SRR15885295","SRR15885296","SRR15885297","SRR15885298","SRR15885299","SRR15885300","SRR15885301","SRR15885302","SRR15885303","SRR15885304","SRR15885305","SRR15885306","SRR15885307","SRR15885308","SRR15885309","SRR15885310","SRR15885311","SRR15885312","SRR15885313","SRR15885314","SRR15885315","SRR15885316","SRR15885317","SRR15885318","SRR15885319","SRR15885320","SRR15885321","SRR15885322","SRR15885323","SRR15885324","SRR15885325","SRR15885326","SRR15885327","SRR15885328","SRR15885329","SRR15885330","SRR15885331","SRR15885332","SRR15885333","SRR15885334","SRR15885335","SRR15885336","SRR15885337","SRR15885338","SRR15885339","SRR15885340","SRR15885341","SRR15885342","SRR15885343","SRR15885344","SRR15885345","SRR15885346","SRR15885347","SRR15885348","SRR15885349","SRR15885350","SRR15885351","SRR15885352","SRR15885353","SRR15885354","SRR15885355","SRR15885356","SRR15885357","SRR15885358","SRR15885359","SRR15885360","SRR15885361","SRR15885362","SRR15885363","SRR15885364","SRR15885365","SRR15885366","SRR15885367","SRR15885368","SRR15885369","SRR15885370","SRR15885371","SRR15885372","SRR15885373","SRR15885374","SRR15885375","SRR15885376","SRR15885377","SRR15885378","SRR15885379","SRR15885380","SRR15885381","SRR15885382","SRR15885383","SRR15885384","SRR15885385","SRR15885386","SRR15885387","SRR15885388","SRR15885389","SRR15885390","SRR15885391","SRR15885392","SRR15885393","SRR15885394","SRR15885395","SRR15885396","SRR15885397","SRR15885398","SRR15885399","SRR15885400","SRR15885401","SRR15885402","SRR15885403","SRR15885404","SRR15885405","SRR15885406","SRR15885407","SRR15885408","SRR15885409","SRR15885410","SRR15885411"
"Enterobacteriaceae_Escherichia.Shigella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,81,0,0,0,16,0,0,0,128,0,0,518,40,0,0,0,840,0,0,6,0,0,0,0,0,0,1814,0,0,2241,0,0,17,388,0,1393,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,73,0,0,22644,0,3872,89,0,0,5389,0,0,317,1,0,0,81,0,0,334,0,0,16,0,72,0,0,461,0,191,1819,0,79,0,12,890,0,10,28,224,97,7810,44,0,88,62,406,0,36,6737,0,88,8,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49275,0,0,0,0,0,110,0,263,0,13,0,868,0,250,0,0,0,0,611,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5894,0,49,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,12,16,0,403,57,0,0,32,89
"Veillonellaceae_Dialister",0,0,59,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,106,2415,0,0,0,6159,0,35,5,27,5,0,0,4,29,0,18,4329,0,0,0,21,0,0,2513,0,0,4,0,0,0,5473,0,71,18,0,0,939,9,0,28,0,6,0,0,0,4,0,0,4,38,0,0,0,0,5,0,0,0,0,0,0,0,0,0,293,0,57,0,3,0,0,0,0,0,0,0,0,54,0,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,1625,0,0,8,95,33,0,21,0,34,2279,0,0,5,0,0,12,13,0,0,2425,0,0,3925,0,0,2076,0,1720,0,0,0,0,43,163,0,36,10,0,0,0,0,37,5,2139,2,0,0,0,3,97,0,4,15,9,3,421,0,20,0,39,0,8,0,0,0,15,3422,0,0,0,1,0,0,0,0,0,0,111,0,0,209,0,0,0,7,9,0,0,5,19,0,0,0,0,0,0,0,54,585,23,39,0,3716,27,2092,0,24,31,0,0,0,336,0,0,0,0,0,0,0,90,0,0,0,0,0,10,0,26,0,0,150,0,0,0,0,17,0,0,0,0,3525,0,0,0,0,0,0,34,0,0,0,0,3,0,1017,27,14,0,7,5749
"Selenomonadaceae_Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,140,0,0,0,31223,0,0,0,1785,132,0,21,1502,0,0,0,28,9437,0,20673,11771,5,6,0,9,0,18,52,0,13,0,0,0,0,0,20,0,152,0,0,384,45,0,14,0,137,0,0,0,1,0,0,0,0,3,248,0,0,17,41,0,0,0,0,10,0,0,0,0,0,0,0,12673,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,180,0,121,0,14,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,23,31,0,24,0,29,1203,0,0,15,0,0,0,0,0,0,2034,0,0,0,0,0,5,72,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2731,0,0,3,0,0,1386,0,101,6,4,0,209,0,0,0,0,0,0,0,22,0,0,49,12707,0,0,249,0,0,0,593,306,0,0,0,0,0,0,0,0,0,0,0,0,12,76,21,0,0,0,0,0,0,0,0,62,121,91,0,1405,0,65,0,31,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,61,8,0,116,0,0,0,0,0,0,0,5506,0,0,192,0,0,0,0,303,0,0,0,868,249,5,0,0,0,0,21
"Lachnospiraceae_Roseburia",912,819,743,65,3452,608,1015,83,32,0,881,27,1514,0,77,18,2437,279,0,214,251,992,13,0,25,803,578,2029,7368,608,90,642,761,2546,3272,188,258,777,612,2192,8657,50,5313,468,135,3173,592,159,150,2191,372,773,353,1626,526,1321,2818,2035,2259,62,861,592,859,947,1090,108,255,12,2258,3007,1955,1802,380,8085,139,1033,178,0,1101,1187,245,234,651,51,2414,0,506,1758,0,446,96,14,17,4963,764,394,1014,65,38,2776,0,742,2925,99,243,0,0,0,209,685,150,2278,302,305,838,1109,70,16,42,23,2226,60,578,41,113,26,1495,0,3435,28,56,0,48,480,0,2135,0,0,828,21,160,0,5110,0,2778,33,0,528,22,855,328,93,1114,1058,482,1143,1170,1511,1028,1913,112,291,1109,365,379,20,1242,1558,2028,1642,16,12,3028,334,61,1798,561,1318,253,112,0,131,0,87,18,69,49,36,0,26,7,0,1257,70,545,258,299,123,1302,69,2546,17,0,826,457,62,870,259,69,524,4150,10351,173,26,228,1687,487,2304,1257,147,414,381,414,28,1139,1917,1971,1950,315,1571,657,369,748,669,582,363,457,338,536,1073,2163,285,16,991,0,2189,324,1049,2391,133,31,51,1674,263,4884,837,6798,2352,67,64,1535,226,0,81,1700,572,393,3664,2328,210,339,173,404,48,1559,383,1353,262,0,227,298,963,752,0,53,209,1023,56,725,7439,662,332,1349,14555,650,0,160,3180,1155,511,0,79,566,34,30,0,613,37,51,53
"Coriobacteriaceae_Collinsella",19,1109,117,0,0,92,242,89,23,1378,524,0,62,5,21,340,408,0,3,79,218,302,2164,0,345,1838,57,896,300,31,0,5,4,566,1324,1083,244,2806,214,225,12,144,215,930,848,385,473,242,0,0,2249,710,13,37,95,8,509,0,2335,3148,937,1544,0,397,349,1259,336,0,0,312,240,0,35,2681,73,735,0,0,307,165,15,41,0,0,258,0,50,9,0,36,165,0,267,56,28,128,0,35,6,17,0,43,0,1148,256,18,1688,0,1693,523,34,0,13,320,323,69,16,0,9,248,381,28,901,1022,237,7,222,0,0,1588,112,12,2770,3632,1670,1272,7,3,102,6,236,1011,51,62,0,0,6734,952,0,118,65,212,346,1747,224,808,220,345,8,258,883,32,834,118,35,3520,477,0,0,229,0,0,6454,39,0,315,443,566,338,0,396,27,0,0,13,1440,171,12,56,630,0,0,250,12,29,90,556,795,128,112,135,109,0,229,289,6,0,167,1176,15,2799,1063,86,0,161,744,236,1332,17,1274,587,245,267,463,113,0,1944,151,0,1332,0,168,0,4248,916,10,13,2015,725,276,356,0,8,8,19,1982,0,530,1549,2573,12,0,1779,670,0,151,0,1074,21,4652,1268,0,0,32,11,459,23,54,7,8,20,4,154,32,428,31,177,92,1865,2645,5,92,979,532,44,252,0,0,240,438,385,110,174,0,232,0,112,0,44,6,25,3,249,13,26,13,666,179,103,120
"Fusobacteriaceae_Fusobacterium",420,0,8,0,0,535,1139,134,0,800,691,4,252,0,62,1403,177,295,1511,344,0,0,100,0,0,0,0,18,0,0,0,0,0,6766,0,0,7,0,0,0,11,12,1825,0,0,0,0,0,14,0,305,0,78,3,23,79,0,108,0,0,0,0,0,2683,207,0,166,200,0,0,0,0,49,0,8,0,0,0,14,14,168,0,0,26,7,952,0,45,759,20,554,0,31,4,5,250,106,66,3952,255,0,91,2648,33,125,49,774,2200,167,441,247,0,25,13,19,201,28,0,0,854,105,1654,44,122,273,169,249,0,3,1070,22019,12,108,17,15143,145,78,0,18,0,0,1342,813,7,6,53,13300,488,2958,93,106,119,0,77,3,0,0,134,69,15,0,29,7,15,7,116,0,1462,34,10,0,0,413,0,6,0,17,0,368,4,14,165,0,32,0,0,2,3534,8,0,0,0,61,0,1335,2,64,0,337,231,2384,7,334,11,25,8,14,28,29,451,4,8,0,0,6680,0,0,13858,0,10,0,216,0,16,31,11,393,105,13,0,561,0,0,0,0,0,0,0,0,0,0,0,7888,0,1998,1142,0,0,0,0,0,1338,0,0,85,0,48,0,0,0,0,6,13,682,0,0,79,58,36,0,28,26816,0,3694,22,0,0,28,85,0,0,11,70,3088,351,0,63,1471,868,0,10,18,238,1639,48,44,131,28,0,4211,0,0,0,0,123,0,98,0,18,164
"Oscillospiraceae_UCG.002",1635,531,1556,30,7211,568,324,1658,6701,17,33,36,2698,0,404,0,48,27,44,0,62,958,0,14,70,214,1933,557,16,1511,221,146,18,249,820,13,110,185,669,724,21,783,12,433,50,632,39,3094,309,1309,0,1469,3708,662,406,62,77,0,1125,468,93,3208,590,806,564,14,997,0,1094,1601,512,95,339,10,1189,1763,0,0,0,1184,2836,96,219,0,0,4,2835,0,18,1563,529,23,19,113,0,560,0,785,12,0,24,1493,311,1106,1380,5128,15,2,0,18,330,563,668,1413,0,3208,357,8,37,0,34,192,398,8,2741,17,6297,16,15,397,51,33,20313,546,0,74,582,22,2055,36,50,18,2391,751,5429,58,0,4443,505,6058,3454,4798,1278,452,188,2546,182,311,17,1344,169,1436,364,290,236,17,3094,14,7,1410,6,0,60,143,118,1436,67,989,945,5092,0,23,0,0,0,5449,17104,5668,214,889,48,3557,16,784,79,2766,250,1214,646,3211,129,13488,51,1716,91,992,754,911,291,2401,285,711,553,25,34,1303,204,137,527,17,369,0,1122,3,12,5017,199,419,0,0,8,579,1429,796,1224,299,43,1716,333,2429,534,0,5,587,868,597,213,970,773,128,0,18,876,1770,5,1220,7,186,10,19,255,1304,25,52,129,3027,328,56,345,1450,764,0,369,9376,1177,1104,1418,1020,0,13405,871,631,382,86,10558,4413,1656,11,280,371,350,273,1519,6,957,12,1803,36,93,0,497,5671,0,19,2831,6460,17312,14165,9619,1732
"Rikenellaceae_Alistipes",546,1963,1541,120,4776,1279,1502,1348,3706,10,875,2,451,0,790,84,69,53,11,1,10,652,27,6,14,578,368,640,0,943,318,222,10,536,457,26,115,92,239,768,0,482,11,495,81,569,37,4701,139,664,0,174,734,389,405,24,40,116,533,563,175,569,1065,904,312,17,1385,12,517,1561,629,34,938,0,934,1556,0,4,0,920,350,0,252,15,238,0,106,142,726,822,209,6,0,246,427,1640,670,136,17,5,10,647,466,3831,1381,1496,0,0,10,587,2119,1017,64,246,0,349,602,6,0,65,62,433,1293,1710,640,3334,151,153,13120,38,18,8,435,576,34,2054,2006,10,553,0,3053,11,587,7920,8425,0,835,3720,21,3087,1371,2149,2399,441,18,292,180,3690,2131,158,95,618,107,163,169,12,672,1353,0,724,7,0,10,66,1346,807,30,312,1541,5968,3,142,804,3,6,6467,1589,1855,1372,663,4488,2098,1586,485,8838,3345,133,970,127,2247,441,4848,8,952,1271,1834,2940,538,496,535,255,652,621,326,96,925,215,183,457,10,598,0,1190,16,10,974,496,493,852,14,6,219,1440,326,1491,859,437,1674,1334,642,656,0,7,633,530,465,710,1865,572,80,0,10,214,780,62,252,11,3525,5,0,640,2813,13,97,62,951,528,24,36,595,49,30,410,4674,832,41,443,591,9,11395,3285,191,1971,19,466,639,4133,0,610,82,212,298,767,5,275,0,8264,7,54,481,689,2126,142,9,4232,15144,1277,5375,593,7541
"Ruminococcaceae_Ruminococcus",1135,20919,3314,39,805,0,651,1228,169,0,19,42,82,21,8,0,7,39,7,25,334,453,0,59,187,9,1852,872,1100,1388,115,93,381,598,255,76,366,386,575,119,8,0,100,596,616,2067,679,269,919,0,105,518,1236,385,18,264,917,7,452,3436,11,386,2514,223,478,2020,1157,0,5355,127,328,373,360,12,82,127,4,19,22,1975,2441,1158,563,13,4652,12,259,555,21,1044,181,16,31,3008,18,4409,1131,17,0,68,12,762,209,491,1007,76,11,6,0,0,6,1417,476,4996,5,76,5,14,0,0,5,16,971,344,507,16,0,0,412,0,5,6,19,592,0,9,9,0,294,8,1947,18,1008,3145,596,9,101,549,0,817,3976,310,2590,388,289,284,60,5,32,968,174,818,5,219,3287,0,286,8,624,1062,9,29,961,690,1545,714,296,559,1153,261,0,34,0,290,22,6287,631,0,25,1459,12,1055,112,48,35,5002,33,20,1135,3345,0,4,2,1057,1841,1126,5297,5897,10,646,886,2289,253,13,21,1686,278,442,550,0,539,0,433,10,20,2206,136,171,8,326,24,2648,1204,219,195,1411,3089,3270,5,1163,1218,45,14,698,636,672,2830,4013,736,340,30,29,957,697,84,227,0,3768,11,40,1569,8133,0,211,373,4661,1031,2,3909,11441,559,70,1565,0,626,1933,2771,2304,9,31,9548,1801,1223,0,53,231,2854,15,474,41,195,12,3421,0,489,0,354,870,6,4,913,1760,0,27,1355,322,366,2357,318,10847
"Lachnospiraceae_Lachnoclostridium",436,89,974,924,1325,246,1701,281,1695,4381,3398,3199,530,786,569,1647,364,619,6504,3,530,624,973,35,392,1286,309,897,488,96,577,490,1534,1025,2131,3660,589,1473,560,1151,1185,509,2706,696,293,454,858,222,393,582,325,1003,241,168,979,955,816,920,589,288,957,671,394,1300,493,987,418,5184,482,239,273,1005,620,5395,311,186,409,8,792,5183,1671,539,651,5078,1456,4128,789,2443,1732,1067,320,27,19,2466,447,283,1462,695,4566,1916,1384,492,606,148,422,921,4615,513,12,2744,6219,688,262,273,635,208,551,923,1908,1050,330,4183,869,1949,151,3841,1046,348,5296,361,221,0,408,246,4603,1303,1555,8,93,0,1147,11186,87,483,1437,852,1361,556,15,210,165,32,375,726,753,31,836,380,400,570,792,855,240,693,623,1693,293,3198,2215,229,0,141,4908,2807,1509,378,291,368,483,0,729,1807,0,3231,0,14,459,51,2951,1004,124,102,633,721,741,280,271,4660,2677,69,4134,33,256,167,331,198,756,145,291,590,524,371,874,2885,5747,750,788,1586,416,422,276,1639,258,763,426,190,341,1774,404,4992,5729,354,594,936,838,2022,1876,193,2157,266,558,701,207,1556,5082,3554,592,630,800,105,621,3390,597,626,711,507,496,1060,623,1924,2163,401,88,2551,2486,306,1422,1867,859,1323,358,5265,780,175,658,1203,692,894,156,2172,0,880,1189,1132,292,847,791,1581,1020,176,700,662,793,0,1080,1225,1993,1761,950,1243,3141,252,570,397,31,24,93,9,96,14
"Lachnospiraceae_Blautia",358,1092,255,148,1257,755,2538,395,164,99,2261,51,844,2477,132,1359,1000,312,394,286,84,129,402,15,22,82,320,75,314,2112,325,596,20,133,1140,92,278,148,118,519,83,270,221,160,92,63,2147,671,56,276,300,72,409,134,2590,1071,117,125,213,79,118,395,133,2017,1446,15,455,512,166,157,308,183,123,687,189,77,290,0,842,1002,484,532,100,276,469,1171,258,56,962,615,615,15,101,205,288,404,1255,74,105,469,0,51,777,166,438,131,111,47,0,1937,1452,605,312,441,769,669,135,2638,13,969,958,797,456,2073,778,931,459,847,1480,137,24,8,31,2962,2175,1392,10,0,172,0,1357,492,307,187,883,8,797,260,0,234,226,149,102,26,207,2376,146,0,489,224,34,553,152,74,270,348,291,3956,304,51,27,218,2402,248,614,270,8,52,1902,10,132,576,45,639,0,252,214,249,212,2047,211,545,2251,727,45,1644,254,3326,330,387,661,127,169,951,1923,1352,1802,433,476,460,78,27,170,30,603,182,235,276,115,21,87,39,117,97,284,432,75,132,167,308,888,95,448,256,160,33,530,108,547,182,80,1036,2332,932,207,388,166,32,248,23,593,0,255,62,252,123,219,301,57,107,82,1727,311,222,183,648,179,501,300,817,365,1070,588,82,502,361,544,164,613,502,442,427,549,163,25,280,300,41,2000,128,49,2057,447,81,308,271,1578,730,3891,429,220,676,372,29,1305,106,327,400,444,137
"Lachnospiraceae_Lachnospira",502,51,1213,1571,59,28,47,214,6,0,0,4,161,18,0,0,0,472,282,14,316,874,0,0,98,313,2326,658,4432,88,0,161,0,306,309,392,422,7,522,896,4480,0,5066,1564,332,779,854,21,1742,1512,42,1779,0,342,8,3496,3189,4203,44,38,808,130,1575,1364,0,826,0,0,915,220,679,439,83,1498,37,17,675,15,93,0,113,494,599,1174,258,4145,501,427,0,509,142,0,0,1988,1668,64,0,0,0,6,0,136,9,0,0,8,0,15,19,0,0,1456,63,347,79,115,11,14,0,0,0,0,28,50,90,0,54,0,1317,0,14,0,0,12,0,6,0,0,316,0,27,0,280,0,75,0,9,477,5,208,72,0,152,947,109,41,105,0,511,342,1170,342,0,986,1460,522,284,52,3847,892,0,2322,128,189,346,939,760,1082,19,0,0,2732,0,64,4,5,0,13,0,14,0,0,0,39,0,75,72,19,590,26,167,0,0,125,5,4,651,192,0,0,909,0,2897,0,18,0,257,214,302,361,18,1593,359,70,2086,313,103,3770,182,209,2249,1312,0,59,599,1203,531,379,0,116,421,466,0,17,29,2321,355,978,513,212,16,0,465,428,1666,1288,1898,1139,0,13,401,28,76,391,555,250,548,4541,1015,173,121,197,1149,9,165,713,1904,356,0,0,12,1279,33,0,24,133,512,8,32,107,362,0,172,0,23,0,0,205,5195,0,0,18,3379,6,0,0,9,30,25,0
"Christensenellaceae_Christensenellaceae.R.7.group",179,2659,468,0,2183,0,138,21,3334,3,4,11,0,2,23,3,0,0,8,4,34,712,0,9,0,60,560,105,12,503,0,212,9,10,3,0,64,21,241,651,0,9,7,555,294,99,38,15718,163,62,0,908,3953,5564,384,4,138,0,9,2504,10,621,1189,36,46,2,545,5,294,299,615,68,41,0,1376,1940,13,17,15,212,99,21,236,0,0,0,3457,7,0,35,82,4,0,218,55,32,0,53,0,0,14,3452,50,7167,442,2327,3,19,0,0,8,301,69,0,0,0,18,0,0,0,0,5,280,0,6825,51,0,6,5,11,18,10,4252,21,0,17,329,7,1465,0,0,0,566,784,1391,7,2,392,390,686,526,2744,1527,24,17,2184,47,0,146,93,36,31,0,80,311,11,3155,6,0,179,0,0,0,94,1904,2605,49,88,581,3264,0,31,0,0,0,2565,856,0,129,7341,7,36,10,52,59,1835,16,211,12,311,24,19,13,969,0,2989,0,118,24,1624,1372,2811,10943,0,0,519,112,0,511,0,585,0,3,0,9,5776,45,23,10,7,0,231,1814,282,543,438,43,1112,8,1910,679,0,4,11,1903,11,505,4681,88,30,19,5,700,776,0,1234,0,140,5,20,142,4120,19,0,32,273,98,0,152,2364,70,0,6,29,212,153,61,283,0,0,924,90,328,5,2464,1020,92,0,75,482,82,275,725,0,133,0,150,0,64,0,0,3,0,0,50,40,7989,1467,14,18
"Erysipelotrichaceae_Turicibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,28,0,0,10,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,21,0,0,0,14,0,0,18381,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,665,0,100,0,0,0,13,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,6,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,13,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,25
"Clostridiaceae_Clostridium.sensu.stricto.1",29,115,13,129,6,0,3,13,61,229,21,1913,0,0,0,7,307,7,48,29,10,10,30,7,131,32,22,60,304,0,16,42,24,261,332,10,16,0,0,57,238,0,129,29,14,1101,3,36,19,46,87,0,0,30,0,1719,0,12,0,197,0,8,72,8,31,11,53,16,0,49,7,36,0,1236,16,0,28,19223,0,120,6,355,604,199,32,160,32,13,425,12,0,0,9,334,12,7,0,27,45,31,162,64,0,22,56,40,219,164,2682,50,0,0,746,7,10,10,7,4,1015,0,244,1372,16,63,34,0,0,0,12,605,0,1265,23,0,0,0,0,0,176,0,50,0,183,48,9,24,15,19,45,0,39,0,376,12,0,98,1417,37,41,337,51,9,0,151,783,33,130,9,15,53,351,8885,183,23,23,145,317,41,47,0,163,283,96,0,0,7,22,0,11,0,6,65,201,29,0,106,3,4,12,7,395,0,0,16,0,72,140,45,50,0,23,0,34,49,0,0,0,0,3,274,7,129,4,0,112,60,22,29,37,3,9,63,16,12,171,22,23,7,15,9,10,27,7,0,0,39,27,50,228,78,23,54,19,58,0,52,0,108,10,0,17,19,973,14,38,21,0,1014,252,15,997,22,0,18,0,0,13,90,2,1131,8,10,11,0,0,7,59,22,7,51,21,7,1407,2745,35,130,6,30,31,7,55,0,17,0,0,0,10,15,9,383
"Lachnospiraceae_.Eubacterium..ruminantium.group",0,0,1145,0,0,0,0,171,0,0,0,10,0,0,0,0,0,0,0,0,29,928,0,0,17,0,61,6,0,89,0,45,0,0,9,0,79,0,130,0,21,0,0,410,0,425,0,0,0,0,6,0,416,0,0,0,0,10,1561,0,6,281,0,7,0,0,0,0,6,0,2758,88,26,5,1214,21,0,17,0,7,0,399,0,0,0,0,478,0,0,941,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,129,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,275,0,7,0,0,491,0,0,8,365,0,0,0,0,27,0,16,111,0,700,0,0,37,0,188,0,0,3393,6,0,0,18,0,107,0,13,0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,188,0,20,24,0,0,0,0,0,10,37,0,326,0,0,12,0,13,0,0,2686,85,7,260,0,386,0,95,0,0,0,0,0,0,0,0,0,6330,249,474,461,0,47,0,0,368,0,0,0,1520,1833,6,0,0,0,19,0,42,826,0,57,13,1285,0,0,423,0,0,0,1158,290,472,0,122,0,0,0,0,7,0,669,0,0,0,0,0,65,47,0,43,135,376,0,0,91,114,0,116,0,22,0,19,0,0,0,0,76,0,0,0,0,124,6,47,0
"Acidaminococcaceae_Phascolarctobacterium",0,0,0,0,0,0,24,0,13,42,0,0,22,0,6,5,18,0,0,0,29,0,33,0,0,0,0,0,42,0,0,0,10,615,0,311,40,0,4,0,2128,0,0,19,5,0,10,0,0,0,41,0,16,637,16,0,19,10,0,419,0,6,0,0,0,0,0,45,676,488,0,6,0,0,0,88,0,0,72,4,40,0,0,0,0,5,5,0,3041,1,0,0,0,67,0,0,0,0,0,8,0,0,3,5,13,0,34,0,0,0,0,0,61,0,96,0,21,0,0,0,22,0,30,0,34,0,0,63,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,20,0,0,33,1,0,0,0,46,0,88,0,6,1996,0,3705,75,0,0,3761,24,0,517,1447,0,0,377,8,0,50,0,0,100,6,17,0,0,2,33,0,0,0,126,0,855,1062,6,3230,1700,1973,1098,5758,690,0,1413,2990,736,136,10773,149,0,235,2123,0,0,0,0,0,0,8,0,0,2729,59,75,0,0,0,0,0,3,10,0,0,2432,16,49,0,0,0,15,15,12,0,0,0,0,33,0,665,0,0,16,0,0,549,7,7260,81,143,0,9,0,677,0,0,0,7,394,0,0,59,0,0,0,0,2,43,88,0,30,0,22,0,2,3313,42,5,26,11,0,21,78,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,2,0,16,1536,68,20,3857,211
