"","ERR3446872","ERR3446873","ERR3446874","ERR3446875","ERR3446876","ERR3446877","ERR3446878","ERR3446879","ERR3446880","ERR3446881","ERR3446882","ERR3446883","ERR3446884","ERR3446885","ERR3446886","ERR3446887","ERR3446888","ERR3446889","ERR3446890","ERR3446891","ERR3446892","ERR3446893","ERR3446894","ERR3446895","ERR3446896","ERR3446897","ERR3446898","ERR3446899","ERR3446900","ERR3446901","ERR3446902","ERR3446903","ERR3446904","ERR3446905","ERR3446906","ERR3446907","ERR3446908","ERR3446909","ERR3446910","ERR3446911","ERR3446912","ERR3446913","ERR3446914","ERR3446915","ERR3446916","ERR3446917","ERR3446918","ERR3446919","ERR3446920","ERR3446921","ERR3446922","ERR3446923","ERR3446924","ERR3446925","ERR3446926","ERR3446927","ERR3446928","ERR3446929","ERR3446930","ERR3446931","ERR3446932","ERR3446933","ERR3446934","ERR3446935","ERR3446936","ERR3446937","ERR3446938","ERR3446939","ERR3446941","ERR3446942","ERR3446943","ERR3446944","ERR3446945","ERR3446946","ERR3446947","ERR3446948","ERR3446949","ERR3446950","ERR3446951","ERR3446952","ERR3446953","ERR3446954","ERR3446955","ERR3446956","ERR3446957","ERR3446958","ERR3446959","ERR3446960","ERR3446961","ERR3446962","ERR3446963","ERR3446964"
"Ruminococcaceae_Subdoligranulum",474,43,102,644,467,674,470,0,62,0,170,135,356,0,17,0,1280,481,212,115,543,541,316,321,26,119,1329,88,273,413,694,428,259,763,226,412,639,496,332,99,175,485,273,736,1354,449,460,565,477,326,989,90,61,0,37,0,813,870,291,408,37,97,27,85,33,145,280,165,1257,52,66,897,55,251,33,280,190,27,294,571,0,332,84,481,88,662,301,346,327,141,36,142
"Akkermansiaceae_Akkermansia",0,67,0,0,0,0,549,0,86,1304,128,0,0,0,632,285,0,3,0,5,0,0,102,104,206,85,224,286,0,23,96,0,216,0,0,0,0,736,0,0,0,6,0,0,0,154,13,0,184,116,0,0,277,2293,0,345,160,4,0,208,0,12,53,121,20,119,0,19,0,392,108,0,0,0,0,0,4,0,25,63,155,20,1425,155,99,24,0,92,0,0,26,6
"Veillonellaceae_Dialister",991,0,0,637,135,1407,0,532,36,0,1097,150,584,0,0,0,0,1372,593,160,1136,275,21,0,0,1474,0,0,0,796,358,0,0,0,0,0,0,696,0,0,0,1978,789,0,1790,1534,0,16,83,0,3233,7,774,311,38,0,127,0,0,0,0,1423,233,38,0,640,0,0,1023,329,0,0,390,0,50,0,0,0,873,0,501,196,410,0,0,1275,245,125,0,0,0,3
"Ruminococcaceae_Faecalibacterium",2184,790,500,3415,165,2360,1996,1294,294,1418,563,375,1517,0,2544,32,2050,1292,2140,982,1448,1581,2154,288,286,0,527,56,1099,1762,311,788,378,2080,819,1536,914,465,1043,91,0,1278,315,1458,3584,416,1629,1925,125,1113,4879,2840,357,0,571,0,423,233,3788,797,1771,3708,99,137,43,704,1098,210,2141,26,524,1189,386,124,13,1055,923,682,159,294,736,1310,413,681,617,1529,904,1399,2413,181,2375,782
"Prevotellaceae_Prevotella_9",1245,0,0,56,0,3022,0,0,4,14,1679,0,780,6,0,0,631,353,2733,280,1086,0,0,670,0,0,0,0,0,0,0,220,0,2628,1757,585,54,0,2511,0,0,0,0,2257,1011,925,0,436,0,72,1696,1615,385,0,1760,0,380,0,0,1094,215,541,0,4,0,1992,0,0,0,118,8,0,555,0,0,0,219,2786,0,36,331,0,141,600,0,1939,880,0,0,3176,2950,0
"Ruminococcaceae_Ruminococcus",523,142,984,454,154,150,914,220,1279,386,639,0,487,0,242,373,192,102,2816,253,1257,1529,1020,352,160,1235,2396,1386,1220,1598,441,1014,391,685,2273,610,75,1965,549,180,1275,1211,593,488,1292,121,397,373,640,317,43,211,337,3327,6,233,351,1184,717,115,1434,397,450,871,154,151,1855,219,348,73,416,1136,131,78,77,1464,311,1186,247,75,160,531,1062,443,1547,70,56,1698,987,773,279,571
"Rikenellaceae_Rikenellaceae.RC9.gut.group",780,0,0,66,0,3,0,0,0,0,1027,0,0,0,0,164,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619,0,17,1371,313,0,0,0,0,773,0,0,0,0,0,379,0,123,0,0,0,0,0,0,0,0,0,0,0,288,398,1192,0,2253,0,910,1441,0,0,1536,0,313,0,851,501,0,0,0,64,0,0,0,793,0,0,508,0,0
"Lachnospiraceae_Lachnospiraceae.ND3007.group",72,86,143,214,44,62,0,108,0,0,0,0,61,0,15,9,123,263,31,12,128,136,51,0,0,218,202,706,14,110,103,71,51,269,72,44,46,93,78,0,0,0,0,68,543,75,99,70,0,57,174,6,140,10,31,0,111,74,782,110,0,82,0,0,7,46,0,158,5,0,15,408,57,11,0,268,138,58,0,140,67,73,66,126,43,34,93,11,52,16,0,30
"Christensenellaceae_Christensenellaceae.R.7.group",833,1269,806,116,471,135,121,530,1113,0,700,0,609,0,0,1388,1071,41,1072,92,1299,1598,20,1045,1165,212,0,1599,88,914,3016,864,2943,556,730,138,476,2995,265,35,195,0,597,589,1037,1749,385,864,0,1219,0,474,5105,0,0,1769,684,1968,346,13,136,1638,2087,4810,2268,389,0,2827,17,1314,705,0,495,1082,541,234,717,187,499,444,0,562,4342,43,100,523,288,868,310,619,573,219
"Oscillospiraceae_UCG.002",152,676,280,225,1177,574,330,3702,862,0,1132,0,194,0,66,1535,43,365,440,638,625,294,0,793,82,239,0,645,25,120,1465,1181,1272,367,2485,808,353,2977,597,498,485,666,1233,1060,51,1803,2107,1323,844,851,0,149,907,0,0,316,1276,325,1551,1002,532,2159,1475,698,80,579,90,1194,578,1136,965,103,966,979,880,229,709,772,688,161,1679,592,2521,81,237,524,362,982,1086,831,1157,311
"Lachnospiraceae_Anaerostipes",33,0,0,29,23,0,58,185,94,796,132,1574,47,3,341,15,201,87,33,12,112,154,384,201,0,1304,283,78,238,53,115,22,83,165,7,35,41,214,28,0,3,48,0,66,169,33,54,138,27,0,1834,56,390,1497,93,10,241,257,754,261,396,106,65,45,0,20,0,36,9,0,32,136,61,213,0,49,0,0,20,0,44,57,24,10,51,125,55,75,997,0,9,14
"Lactobacillaceae_Lactobacillus",0,0,0,0,0,0,4,0,1057,0,0,1002,90,0,0,0,0,0,20,0,0,0,0,23,21,4905,58,0,37,0,0,0,0,0,24,0,0,0,0,4,59,407,0,0,0,454,0,0,0,179,20,2,20,131,0,0,0,3277,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1172,0,0,0,0,0,0,0,0,12,0,0,0
"Oscillospiraceae_UCG.005",300,182,350,16,153,395,258,131,162,0,320,0,35,0,18,100,101,65,184,105,132,188,23,55,11,0,0,100,51,52,338,417,224,51,202,89,175,886,241,503,79,141,86,157,28,222,410,184,31,307,6,20,330,0,0,28,213,260,83,67,42,331,324,473,113,61,7,716,59,272,194,91,103,216,67,44,183,280,223,79,343,5,323,427,58,27,115,502,195,787,261,123
"Lachnospiraceae_Lachnospiraceae.NK4A136.group",423,22,1016,105,142,522,126,0,30,0,481,0,57,0,35,14,351,88,89,37,335,235,327,88,229,34,21,0,161,11,11,139,13,288,272,16,490,35,352,0,50,656,14,328,59,122,23,95,48,71,26,23,391,0,91,0,63,685,99,81,18,69,0,26,27,241,174,238,31,0,101,141,175,6,50,141,55,459,9,268,133,281,49,202,893,66,89,13,16,392,133,264
"Lachnospiraceae_Dorea",76,24,19,276,133,54,170,133,53,0,59,301,70,0,118,0,135,310,91,78,160,288,211,487,0,385,640,105,235,127,101,98,34,277,89,76,474,165,173,472,0,66,177,156,400,211,130,229,83,238,251,329,82,511,457,20,106,80,547,387,398,70,67,30,20,61,52,69,98,0,35,267,0,34,0,158,74,0,88,170,157,13,33,65,11,142,70,74,79,20,15,0
"Ruminococcaceae_UBA1819",10,7,18,0,11,6,68,43,41,275,0,7,10,21,55,59,22,16,9,0,0,19,14,241,28,188,0,114,44,7,0,11,27,20,7,5,12,28,0,547,391,10,36,9,9,0,5,4,35,37,0,0,6,211,0,48,9,26,0,9,94,0,433,4,0,10,4,0,14,0,19,66,52,0,45,16,11,0,87,52,12,7,5,14,4,0,0,0,22,0,4,4
"Enterobacteriaceae_Raoultella",0,0,0,0,0,17,0,35,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,82,0,0,0,0,0,0,33,0,0,21,0,0,0,0,39,0,3246,0,41
"Lachnospiraceae_Blautia",182,0,185,502,44,211,483,282,354,3646,96,1901,195,1340,309,77,766,312,213,95,671,410,744,911,108,2129,2833,614,593,378,335,570,275,679,263,177,528,41,298,834,168,419,453,166,1270,519,56,525,503,499,1669,449,454,2288,40,82,634,356,1279,839,988,225,213,97,0,211,256,62,515,22,165,859,293,16,0,327,85,24,39,854,115,81,179,28,37,107,229,175,777,11,201,0
"Erysipelotrichaceae_Holdemanella",0,0,0,682,0,311,37,0,0,0,130,0,0,0,0,155,0,0,382,45,0,0,0,563,0,0,0,0,0,0,0,714,0,0,152,679,0,0,158,0,0,0,0,122,0,0,196,0,0,1227,496,671,145,0,100,126,381,0,0,105,0,197,0,336,245,795,0,1085,0,26,89,0,0,55,0,542,435,184,0,0,0,0,75,137,0,0,9,77,0,133,14,0
"Lachnospiraceae_.Ruminococcus..torques.group",23,0,109,77,21,0,0,34,41,110,19,0,0,134,371,18,147,29,68,22,69,214,0,404,6,300,112,68,287,31,99,98,17,171,48,153,312,0,105,184,143,77,39,26,185,0,48,120,0,164,97,329,58,191,59,270,181,116,275,541,858,103,193,31,31,137,55,65,423,38,0,165,90,56,38,216,117,6,73,134,87,30,22,53,0,42,41,34,70,26,48,0
"Acidaminococcaceae_Phascolarctobacterium",0,0,516,0,0,23,277,0,120,719,3,5,0,2500,961,93,0,0,6,0,0,0,5,85,784,0,0,578,79,0,5,81,1111,533,395,610,46,70,0,13,0,0,0,0,5,42,332,825,6,0,0,0,198,0,0,175,29,0,86,615,0,0,139,71,21,0,11,0,0,29,3,101,0,104,233,92,43,332,276,13,0,0,46,157,0,0,4,35,0,681,0,0
"Prevotellaceae_Prevotella",0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,320,2,0,6,0,0,0,0,0,0,0,0,0,0,70,0,407,50,733,18,0,1187,0,14,0,199,0,0,0,25,1094,0,149,0,309,0,318,0,0,280,0,1232,2503,0,0,311,0,0,453,0,3,0,0,0,944,0,0,0,1096,0,187,0,110,0,0,0,1167,0,0,1269,1238,0
"Lachnospiraceae_Coprococcus",380,6,60,123,107,166,186,74,0,0,140,0,84,0,83,0,37,111,166,34,141,522,0,159,0,427,249,64,92,16,644,263,20,163,217,235,106,74,263,0,58,76,82,69,111,368,165,70,136,120,27,74,49,0,80,0,91,1110,17,166,63,217,62,40,30,104,42,24,91,0,15,168,115,108,0,80,321,40,55,310,61,136,64,49,5,109,54,253,95,0,49,149
"Barnesiellaceae_Barnesiella",93,90,752,0,48,62,672,7,106,33,144,0,97,0,0,0,297,5,266,370,7,137,0,510,0,0,3,177,373,234,457,152,829,0,48,275,0,38,0,631,0,33,0,12,16,0,927,0,1231,9,0,16,70,917,0,0,15,339,273,69,167,32,369,0,0,52,227,150,493,74,60,19,268,21,472,67,118,84,50,173,34,0,204,124,386,39,46,1092,1067,13,9,187
"Oscillospiraceae_NK4A214.group",96,70,111,57,114,155,0,126,463,0,305,0,0,0,0,137,27,61,78,6,73,110,0,37,441,57,0,124,57,33,172,300,196,14,375,228,233,472,87,498,0,38,95,130,9,1898,291,344,91,77,5,17,365,174,0,134,470,55,58,133,18,282,374,381,361,21,13,328,46,362,141,99,46,144,277,49,162,95,430,54,112,17,469,3,15,132,46,34,24,220,262,44
"Sutterellaceae_Sutterella",47,51,0,437,56,69,442,30,14,0,57,34,0,3,121,25,8,171,5,109,0,0,33,10,37,27,0,0,86,53,37,52,139,0,432,100,0,85,0,18,0,0,0,67,0,8,112,78,0,21,0,208,56,0,403,164,37,0,35,12,143,76,109,142,257,32,11,294,0,252,24,71,0,1225,36,868,25,86,105,0,114,410,3,363,515,101,148,117,0,96,191,389
"Prevotellaceae_Paraprevotella",137,0,0,21,48,25,54,130,0,0,8,0,0,0,309,0,0,119,66,0,173,108,134,43,62,0,0,0,61,719,0,115,0,0,64,0,11,129,78,0,65,127,40,105,66,47,32,55,0,7,59,0,24,0,92,3,21,53,570,200,192,0,0,10,0,0,0,45,227,0,0,47,10,162,12,12,318,62,17,0,58,361,44,517,0,42,118,0,0,21,91,0
"Sutterellaceae_Parasutterella",16,135,344,58,33,0,341,49,6,0,0,0,256,574,394,0,14,36,0,112,258,536,170,0,0,0,0,0,6,682,51,19,0,0,31,5,0,0,446,0,0,0,0,8,2318,0,18,0,1142,0,322,0,11,1015,43,0,0,0,437,8,59,86,0,0,0,114,12,15,0,19,197,8,0,5,0,0,0,0,0,0,0,0,0,7,0,12,5,1291,27,31,39,44
"Desulfovibrionaceae_Desulfovibrio",0,0,0,186,156,60,0,25,138,0,186,0,29,6,0,161,73,201,0,0,0,0,45,0,0,0,0,142,0,0,92,0,150,0,445,0,11,407,0,0,0,0,0,37,0,0,0,0,31,0,0,0,3,0,0,362,382,20,0,0,0,0,0,246,160,0,0,411,0,139,443,0,108,172,0,0,0,80,314,0,998,50,10,83,0,268,48,0,0,199,15,0
"Prevotellaceae_Prevotellaceae.NK3B31.group",0,0,0,315,0,0,0,446,47,0,0,0,0,1130,0,466,0,0,0,48,205,0,0,0,0,0,0,0,1223,0,0,601,1731,0,0,0,0,113,0,0,0,0,608,0,928,0,841,648,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,17,0,0,0,170,245,647,0,448,0,0,5,0,0,0,0,71,0,0,1094,51,0,0
"Lachnospiraceae_Fusicatenibacter",22,89,0,67,60,27,58,115,24,327,19,307,57,0,43,44,68,194,0,0,69,137,419,33,17,0,1055,51,206,140,61,94,9,112,30,107,122,44,50,90,0,113,43,56,301,44,0,81,0,71,0,92,173,525,42,0,0,323,222,52,92,0,0,10,12,21,59,12,51,0,19,298,40,28,0,141,0,0,35,42,19,38,10,26,36,43,24,29,51,0,0,0
"Ruminococcaceae_.Eubacterium..siraeum.group",66,55,62,0,181,0,0,493,54,0,525,0,0,0,0,63,5,0,0,0,120,172,0,12,2,7,0,37,9,326,0,43,149,7,65,0,29,56,57,10,0,0,25,127,29,4,144,12,12,0,0,0,4,0,0,0,16,0,27,51,24,0,20,0,18,181,0,2,0,0,0,0,0,0,11,18,125,52,0,31,134,799,36,260,118,6,35,173,0,54,413,15
"Oscillospiraceae_UCG.003",25,14,60,9,37,78,0,37,105,0,59,0,11,0,0,0,0,27,61,36,59,55,22,0,10,0,0,0,0,44,17,369,10,32,68,0,27,47,53,0,0,49,6,82,0,0,36,83,87,8,0,15,122,0,29,0,0,0,40,14,15,51,0,44,0,38,36,77,51,42,3,0,5,53,47,31,16,62,0,0,33,36,48,0,28,18,16,113,0,144,161,22
"Porphyromonadaceae_Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,5,111,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,0,0,0,13,48,1751,0,0,0,0,2566,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellaceae_Veillonella",18,0,0,0,0,36,17,23,0,0,0,0,0,6,0,0,27,0,378,12,0,0,83,0,0,0,0,8,6,566,0,0,0,4,6,0,0,0,0,0,81,0,0,14,26,205,0,3,0,22,105,717,126,48,4779,0,0,16,179,0,38,0,0,3,0,7,0,0,11,0,5,80,0,53,0,0,0,0,0,0,0,0,190,0,8,0,0,0,12,221,0,0
"Lachnospiraceae_Roseburia",616,16,0,224,37,303,243,31,38,192,0,0,99,0,29,0,306,166,234,24,321,21,336,46,6,245,458,0,561,620,16,111,48,432,89,145,43,19,276,0,0,323,16,9,47,125,0,76,399,52,284,60,40,194,332,0,51,536,278,616,19,15,0,0,0,14,118,97,213,23,8,542,3,0,90,253,22,42,0,0,29,363,0,37,104,0,48,387,19,0,58,34
"Lachnospiraceae_Lachnoclostridium",90,0,42,54,0,0,25,10,20,1082,0,105,25,3967,165,0,0,283,0,53,0,18,29,6,196,171,44,15,34,107,0,0,0,36,6,22,0,0,0,63,129,0,10,13,0,0,15,0,27,0,309,0,0,59,425,247,0,0,117,125,79,0,124,78,4,11,0,61,14,17,17,765,10,0,31,25,0,0,3,11,105,65,4,0,22,0,24,25,7,0,669,0
"Synergistaceae_Pyramidobacter",0,0,0,0,0,0,9,14,674,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,15,0,0,80,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,121,7,0,0,0,197,43,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marinifilaceae_Odoribacter",25,101,12,0,8,10,0,62,17,0,54,0,0,8,0,0,7,12,162,47,67,54,0,27,130,0,0,20,32,23,0,34,79,24,46,210,7,0,21,10,1533,247,32,32,5,0,228,80,0,8,7,0,5,26,13,55,82,0,60,28,229,166,26,38,25,25,0,406,122,59,0,15,29,24,250,24,45,0,26,0,0,0,11,19,55,23,0,122,105,5,26,30
"Erysipelatoclostridiaceae_Erysipelatoclostridium",34,6,0,4,0,0,43,198,10,437,0,16,5,31,32,30,22,30,0,0,0,11,0,9,6,284,106,12,12,0,5,19,41,0,0,10,0,0,0,0,124,8,0,21,0,10,0,0,50,0,0,53,2,214,0,0,12,0,16,0,111,0,12,0,0,0,11,0,16,20,0,66,0,0,11,0,17,13,195,0,0,7,0,18,0,4,0,0,0,0,45,13
"Lachnospiraceae_.Eubacterium..hallii.group",55,17,20,0,0,35,204,146,214,0,0,62,43,0,75,0,126,114,30,22,167,76,160,302,29,655,464,0,338,27,224,114,31,216,56,27,324,135,78,392,0,105,127,46,251,69,0,290,67,189,911,67,84,651,0,37,243,127,263,355,320,58,36,41,0,28,30,64,155,12,54,105,23,0,10,100,0,0,21,40,53,36,200,0,0,0,9,30,621,0,0,18
"Lachnospiraceae_.Eubacterium..eligens.group",359,348,543,11,10,35,0,89,19,0,48,0,583,0,0,0,30,19,27,77,97,9,5,0,8,0,0,0,30,11,21,102,0,0,64,43,0,47,61,13,0,11,6,0,0,0,0,63,277,2,96,0,169,35,23,0,0,16,68,0,15,10,0,99,15,0,0,82,228,12,248,0,19,0,5,0,39,30,0,83,21,77,0,59,20,0,0,0,0,130,0,16
"Lachnospiraceae_CAG.56",22,0,0,17,0,0,0,0,0,0,0,0,26,0,28,24,142,99,0,18,42,75,50,38,0,0,0,0,37,0,0,34,0,0,0,0,0,0,15,0,0,0,19,116,20,0,0,74,0,0,20,43,30,0,34,0,74,15,192,72,0,0,0,0,0,33,50,49,0,0,9,72,0,0,0,70,53,0,17,0,13,16,0,0,21,16,15,0,0,8,0,27
"Lactobacillaceae_Limosilactobacillus",133,0,0,0,0,0,108,0,106,0,0,382,0,0,0,0,21,0,370,0,0,0,0,0,0,47,295,0,15,0,0,0,0,0,151,0,0,0,0,0,182,83,0,0,0,17,0,0,0,1273,0,31,10,7,5,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,111,0,0,0
"Prevotellaceae_Prevotella_7",0,0,0,1936,0,0,0,0,0,0,0,0,238,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,308,0,0,0,0,36,0,1055,0,0,0,0,81,0,18,510,0,430,0,0,0,0,306,0,603,0,0,0,0,0,0,0,0,359,0,0
"Lachnospiraceae_.Eubacterium..ventriosum.group",22,10,11,0,0,0,43,129,2,0,0,13,26,0,21,22,35,0,12,0,0,59,7,16,0,22,182,35,34,64,21,7,0,50,15,32,0,26,0,0,0,0,7,0,0,0,14,0,0,17,0,0,10,57,19,9,0,26,28,20,25,0,0,0,7,0,17,888,9,0,0,185,0,0,0,47,0,34,0,0,0,0,70,22,15,0,0,0,0,8,0,13
"Lachnospiraceae_.Eubacterium..ruminantium.group",32,0,65,0,165,17,45,42,95,0,51,0,0,0,0,165,0,32,0,57,0,0,0,0,0,0,0,0,65,0,0,0,0,0,193,0,0,0,53,0,0,0,0,114,0,0,0,52,0,0,0,0,0,3,0,0,0,0,0,200,0,12,0,0,0,0,0,0,0,0,95,0,72,68,0,0,14,0,0,7,39,20,18,0,0,0,0,0,0,0,0,0
"Anaerovoracaceae_Family.XIII.AD3011.group",50,13,16,8,70,30,25,20,142,0,129,0,21,10,7,47,16,20,12,5,2,78,14,45,97,69,13,110,86,14,59,28,3,20,26,4,0,81,13,237,4,3,3,57,19,0,31,40,15,14,7,39,164,11,0,35,20,10,16,65,81,49,82,253,15,5,0,97,22,266,18,46,11,40,20,26,46,0,59,37,54,0,89,4,0,40,13,8,27,15,21,20
"Clostridiaceae_Clostridium.sensu.stricto.1",26,0,0,190,48,0,0,16,4,0,0,8,45,0,0,0,17,7,19,0,0,17,0,7,26,25,3,39,8,31,11,99,0,249,20,2,0,25,120,0,31,21,24,25,267,0,0,0,0,192,18,287,0,0,16,0,32,76,0,0,14,17,0,59,4,33,0,0,0,0,0,0,0,0,0,0,14,0,46,11,0,0,7,13,65,50,16,4,0,20,0,14
"Peptostreptococcaceae_Intestinibacter",0,24,0,141,46,0,14,36,0,0,0,0,0,0,0,0,20,10,18,0,0,106,0,259,0,0,70,0,0,18,15,0,0,31,0,0,0,0,45,0,0,64,22,56,0,0,0,0,0,0,0,0,0,66,0,0,27,80,0,0,0,0,0,0,0,25,0,0,4,9,0,0,15,0,0,0,281,49,15,0,21,7,16,275,0,0,0,13,0,30,0,31
