"","Adenoma10.2757","Adenoma11.2775","Adenoma12.2799","Adenoma13.2803","Adenoma14.2817","Adenoma15.2847","Adenoma16.2873","Adenoma17.2937","Adenoma18.2967","Adenoma19.2971","Adenoma2.2113","Adenoma20.2995","Adenoma21.3129","Adenoma22.3133","Adenoma23.3141","Adenoma24.3217","Adenoma25.3273","Adenoma26.3373","Adenoma27.3379","Adenoma28.3391","Adenoma29.3399","Adenoma3.2123","Adenoma30.3509","Adenoma4.2143","Adenoma5.2243","Adenoma6.2453","Adenoma7.2475","Adenoma8.2555","Adenoma9.2717","Cancer1.2355","Cancer10.2567","Cancer11.2573","Cancer12.2575","Cancer13.2579","Cancer14.2611","Cancer15.2613","Cancer16.2619","Cancer17.2625","Cancer18.2629","Cancer19.2633","Cancer2.2455","Cancer20.2667","Cancer21.2671","Cancer22.2703","Cancer23.2705","Cancer24.2727","Cancer25.2735","Cancer26.2763","Cancer27.2771","Cancer28.2777","Cancer29.2801","Cancer3.2513","Cancer30.2863","Cancer4.2521","Cancer5.2523","Cancer6.2535","Cancer7.2537","Cancer8.2543","Cancer9.2547","Healthy1.2027","Healthy10.3087","Healthy11.3123","Healthy12.3211","Healthy13.3241","Healthy14.3245","Healthy15.3247","Healthy16.3251","Healthy17.3257","Healthy18.3293","Healthy19.3339","Healthy2.2779","Healthy20.3341","Healthy21.3347","Healthy22.3363","Healthy23.3367","Healthy24.3403","Healthy25.3405","Healthy26.3407","Healthy27.3439","Healthy28.3499","Healthy29.3529","Healthy3.3021","Healthy30.3291.66","Healthy4.3023","Healthy5.3043","Healthy6.3061","Healthy7.3063","Healthy8.3073","Healthy9.3075"
"Coriobacteriaceae_Collinsella",2521,0,0,0,0,0,0,0,649,5323,2989,716,89,3544,3243,499,1691,1465,2988,3768,7050,3916,7,1809,324,0,1217,0,0,311,2061,1718,3908,1209,378,0,0,1055,256,1307,696,0,0,0,10,3251,534,0,0,373,2815,1562,711,5644,2893,113,10851,3952,423,0,8824,0,3964,0,2,854,2,2491,462,97,0,740,311,62,705,242,2634,0,0,1556,1394,2235,705,29,2332,5,8,670,3746
"Rikenellaceae_Alistipes",354,277,117,3286,3822,717,494,68,24,8881,3369,3797,2025,2985,134,1194,1663,1682,115,1243,291,2442,37,129,1417,23,44,5648,12453,3443,6720,4874,311,2936,548,2345,17,4368,214,79,2598,12138,10461,2960,76,1421,48,8,4128,234,500,783,17601,2968,3535,4964,157,54,7657,2,3138,8,429,2760,12315,2513,21,17591,4435,9757,107,2571,1429,866,1888,541,210,4061,7847,5994,3380,383,3935,51,1509,17011,100,13106,2010
"Tannerellaceae_Parabacteroides",6,409,162,0,6152,7,1166,31,36,72,391,6174,625,2635,613,6,459,86,3452,671,217,5921,6,0,973,0,0,14,1986,3,1063,0,0,350,4394,711,0,7855,131,7,1833,1836,0,0,2061,1133,225,0,7,680,153,271,1556,654,1816,1733,13,7,37,8,511,0,15,31369,2350,468,24,4,4157,5393,0,1581,212,291,262,18,530,525,71,536,292,4,0,185,281,3162,12,7,4789
"Ruminococcaceae_Ruminococcus",2726,95,0,1381,3405,548,122,2783,0,247,1274,1343,188,5936,854,1495,8041,1079,2633,2818,1807,4468,1261,124,479,5,583,2017,1450,2805,929,0,328,2029,7228,746,0,4453,1431,14,4541,12935,1329,151,17,4399,0,0,0,3259,36,2839,3551,1415,0,1052,58,202,117,5570,2697,0,4266,11955,163,1933,0,2273,434,7599,2246,5264,6869,78,3005,1892,1618,0,2361,1461,352,361,7872,401,7079,1824,13,429,434
"Ruminococcaceae_Subdoligranulum",476,1941,2019,6109,4867,5888,1259,6,31,7550,6528,34,119,1712,3321,762,4803,1749,34,1813,39,2020,690,1549,481,0,5495,1447,813,2467,5233,1831,2840,2990,1251,1155,1254,2298,716,0,7408,3194,373,1690,8,2258,7,0,3485,223,0,631,6094,905,0,1921,0,2192,88,2388,688,30,4,1905,1485,4025,6,730,1085,3541,2783,1723,1229,1766,1507,760,1053,1685,1951,3690,4465,1529,1850,1778,18,0,78,7565,2011
"Prevotellaceae_Prevotella_9",11,0,0,0,0,61,9,0,0,0,13,2,0,0,0,0,0,0,10087,0,0,6,0,0,23616,0,12,8,0,0,4,0,0,15,0,0,0,0,0,9,0,0,0,0,40,0,0,3,0,0,4,0,0,0,5,7453,22,0,0,17,0,0,22,66654,32,0,0,20,14,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0,19,14,13
"Streptococcaceae_Streptococcus",323,2290,10300,1393,1339,263,7968,625,261,650,722,253,1143,142,456,425,30,421,783,37,3914,176,322,410,25,1250,287,107,928,918,201,377,3762,366,0,19,2217,85,179,7914,3050,103,69,249,1338,1661,9439,1068,313,26,2127,152,921,174,42,429,11430,668,125,448,28,2662,3250,1585,141,2398,190,3511,0,884,92,1115,108,11094,126,597,2597,382,868,124,1306,203,923,155,4550,210,1410,179,340
"Lachnospiraceae_.Ruminococcus..torques.group",1284,8076,94,1973,782,2561,80,757,1022,467,1882,2893,226,430,1308,340,214,470,702,630,3283,3136,34,334,78,109,818,598,1330,794,278,12562,739,867,347,1588,496,3031,834,0,714,874,450,1020,2468,1102,13323,0,6996,0,808,514,3594,5393,704,1009,1240,3412,614,797,175,1243,1558,36218,2273,1737,268,4253,655,1265,70,899,3216,90,472,91,814,563,3633,243,3608,2900,1391,1513,1201,569,397,95,2202
"Peptostreptococcaceae_Romboutsia",463,213,0,0,3120,0,4205,1087,203,360,1113,313,0,6190,2320,395,536,0,1079,1783,2134,24,12,84,94,249,18156,32,304,385,1493,148,0,354,634,149,880,326,15,9,22,1770,98,264,2140,1553,12,4476,1738,0,75,474,1597,2556,58,238,168,1471,17,311,525,3964,0,0,648,2828,127,527,15,2203,293,0,28,35,39,0,3,523,9,1387,670,111,258,6209,11,104,1754,780,1094
"Lachnospiraceae_Dorea",925,2457,817,314,644,6893,2278,3825,3624,7,2542,308,199,791,583,1758,101,1018,0,833,4347,1674,887,3509,441,1187,2504,323,771,908,3017,1171,3364,1368,348,0,501,2093,727,403,2203,996,143,2658,4047,1754,4243,867,1692,13,564,1205,2890,615,38,338,10176,2426,19,706,1625,4038,3671,364,598,2129,729,1643,1570,1237,447,1112,848,2529,305,506,1886,573,1159,710,2027,1723,650,2345,1009,549,1584,696,0
"Veillonellaceae_Dialister",1441,0,0,0,9879,216,15,875,0,0,347,0,0,0,0,0,0,0,0,0,0,0,1078,0,5,998,16499,961,5,0,890,0,0,0,0,47,0,1156,0,0,0,0,3869,0,9,6,6,0,9,0,3655,0,0,0,0,0,11,967,56,1498,1937,12,2189,17247,0,6,406,0,6,0,0,0,0,1827,0,0,0,2390,0,0,10,2107,0,391,0,0,0,0,3761
"Lachnospiraceae_.Eubacterium..hallii.group",1362,3865,0,6234,2090,3627,1516,10,3736,2276,4157,3436,444,1518,1471,1419,144,448,68,1241,3600,761,14,3366,425,14,3658,1675,1074,741,456,146,1624,1814,244,3286,1116,820,243,0,817,1668,0,1780,5710,754,848,0,2705,160,921,904,616,2064,2908,1235,8033,194,0,928,606,1780,2797,490,1489,2841,0,4158,1262,1003,700,1151,1283,1816,225,819,4153,1774,2807,696,5895,1961,589,1049,40,0,0,1137,1072
"Prevotellaceae_Prevotella_7",0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,5849,0,0,19,4,0,0,2085,0,0,0,0,0,6870,0,0,0,37495,2772,0,5,1077,15,6796,9,0,0,0,7,0,39,5,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,24,0,0,7,1176,0,0,0,0,0,0,0,0,125,0,9,34,0,0,0,3,0,0,5,47
"Lachnospiraceae_Coprococcus",583,264,0,489,439,1422,476,0,6,2009,68,8,0,1066,221,53,814,252,4831,572,7998,303,0,170,588,0,2206,82,287,668,1000,1063,0,0,801,666,3254,184,429,14,486,982,94,426,934,1915,0,7,1051,9,1760,592,3284,604,2014,3048,7,2463,279,1713,1042,616,484,1320,929,6332,2,1772,536,445,238,643,235,76,182,63,1202,97,763,1123,8804,1525,984,1778,851,427,2564,0,4673
"Ruminococcaceae_CAG.352",0,3560,1907,3,0,2992,0,0,0,2235,12,0,45,2970,0,0,0,3501,0,480,0,0,0,0,30,0,3838,0,1129,0,3,0,7793,0,0,1667,10524,0,0,0,1643,0,0,12,0,0,0,0,0,89,0,0,5795,474,0,0,0,12,0,0,0,0,0,15,6,210,0,0,1347,0,0,0,0,0,108,139,2397,0,0,0,9781,0,5,81,0,0,0,11,0
"Peptostreptococcaceae_Intestinibacter",502,16,0,1261,64,2456,0,598,0,23,294,208,0,0,281,4,38,9,133,2960,576,7,62,0,31,98,337,46,17,25,249,41,0,21,1062,0,0,128,958,0,0,0,154,0,9634,1283,5329,5437,1989,9,444,0,3088,587,9,100,28,292,0,0,45,495,18,62,310,6439,377,15,0,416,4179,0,0,148,0,0,0,79,0,111,435,12,599,3401,57,1274,0,555,59
"Oscillospiraceae_UCG.002",0,316,0,2426,524,70,164,0,0,1932,166,0,16,1757,38,18,2317,1630,72,985,668,17,0,0,1534,0,563,0,575,4796,11304,0,466,0,940,857,0,114,675,0,4111,2973,2015,0,10,1042,0,0,0,328,18,73,3273,1760,12,2426,11,116,192,4735,0,0,0,2178,855,1317,0,2527,2775,2254,2126,1948,26,176,5329,887,27,121,5486,3080,3568,234,214,228,6116,307,4,0,421
"Christensenellaceae_Christensenellaceae.R.7.group",0,109,0,1121,3688,0,1235,48,0,951,1135,0,8,308,0,8475,3420,3509,819,1783,112,3,0,0,532,0,20,123,1683,1350,849,9,224,582,250,933,0,26,140,13,867,2,2711,3,0,787,0,0,0,7,0,383,641,3386,0,1417,0,0,535,80,1165,0,587,19,82,5406,0,268,283,13139,5976,1360,4,57,569,431,0,0,932,4326,6208,349,296,43,429,2,3,12,247
"Bifidobacteriaceae_Bifidobacterium",5,13,0,0,1721,0,251,7826,1862,1307,385,0,0,67,0,4950,1025,607,31,5790,0,734,7,3217,99,0,9877,0,83,845,2440,0,6,0,658,0,460,1047,87,4,0,538,134,1597,1173,417,5463,2292,4113,32,2119,851,456,1229,3313,867,3412,7185,0,0,499,15845,0,56,0,347,17875,7806,332,742,0,0,16,1837,0,768,8,2352,199,510,0,832,107,528,10694,175,0,1495,3163
"Lachnospiraceae_.Ruminococcus..gnavus.group",118,1178,46,16,0,19,14,419,369,0,0,273,0,0,67,12,0,0,97,376,1314,33,583,623,24,3257,89,118,0,15,0,1400,46,125,0,151,2978,21,1120,967,211,0,0,281,10327,11,2627,632,470,68,966,15,2068,56,308,78,6750,197,11,0,38,248,615,49,12,0,3345,28,0,0,73,0,0,52,0,118,381,599,24,0,0,86,0,7,208,6936,264,415,90
"Lachnospiraceae_.Ruminococcus..gauvreauii.group",1210,7,0,283,683,502,3710,6132,608,141,254,9,191,301,0,877,58,113,45,708,29,2325,15,3,169,0,66,1564,0,449,1469,281,2680,35,61,696,0,810,252,0,48,350,65,95,6206,703,276,654,77,0,49,974,286,295,10,39,5455,1397,28,625,69,523,140,0,321,759,34,10,318,397,226,1045,496,86,199,0,9,1033,0,160,309,3629,573,639,1540,0,4462,1036,22
"Clostridiaceae_Clostridium.sensu.stricto.1",1559,1720,30,259,47,2049,541,5,734,690,424,489,0,3756,2470,398,984,850,1945,1083,527,2,527,0,374,431,2970,12,118,355,270,502,10,11637,4326,19,9,126,2240,0,392,47,531,86,281,1087,2453,2272,70,0,0,1874,3494,8064,0,277,52,19,40,72,137,3329,384,4,58,8373,3,45,652,3281,2817,0,12,21,0,2589,3722,35,4,280,617,178,21,3153,35,1311,1906,382,103
"Pasteurellaceae_Haemophilus",36,124,4902,0,4588,860,18582,0,0,0,0,0,3,7,5,388,16,6,211,0,0,11,0,252,141,0,348,0,5,298,65,0,2,68,0,0,2,6,0,0,1939,67,0,0,0,67,0,0,0,6,14,11,24,4,4,15,0,0,0,139,88,154,0,178,0,1618,17,0,0,873,556,0,0,109,0,37,0,0,15,0,0,379,3908,3,5,0,0,0,0
"Veillonellaceae_Veillonella",1896,108,113,0,296,0,1887,32,0,22,0,3,0,13,390,1872,12,32,482,0,6,33,34,184,0,13,3220,12,37,799,169,0,4602,7,0,6,423,21,1994,34448,144,19,0,25,38,81,29,514,4,21,18,21,39,18,0,127,0,6,0,475,67,1668,0,650,19,452,245,66,0,426,1950,7,6,279,8,22,0,0,99,27,16,39,2207,9,1490,0,0,3,0
"Erysipelatoclostridiaceae_Erysipelotrichaceae.UCG.003",439,1184,0,946,867,0,1801,0,54,659,1527,0,57,578,10,774,289,193,923,425,0,399,0,0,6,0,104,908,0,627,28,0,189,0,26,525,0,1069,298,0,399,187,0,894,0,242,947,0,605,0,0,328,1491,3,0,236,0,0,0,665,116,539,0,0,249,786,0,2021,153,968,161,1030,501,11,567,142,1953,0,817,8,6130,666,279,149,1322,0,0,0,0
"Porphyromonadaceae_Porphyromonas",0,0,0,58,0,4,2,0,106,49,0,0,0,12,32,0,0,0,2,0,0,24,67,22,0,81,0,11,4,60,446,15,0,137,17,12433,0,0,26,97,1471,0,38682,8,156,0,315,0,16,0,4,8,13,0,12,10,17,0,67,0,0,0,106,0,23,9,0,20,3,333,0,2,9,4,0,182,847,247,10,0,49,2,9,0,7,0,331,0,57
"Enterobacteriaceae_Klebsiella",0,19,139,0,1229,114,20,0,0,0,0,0,0,0,0,19,0,43,350,0,0,0,0,0,64,0,29,0,0,11,0,0,0,0,14,0,3358,0,19123,0,0,0,0,0,0,0,2120,5970,30,0,0,0,11,0,0,25,3410,0,0,0,0,50,0,0,0,0,0,0,0,28,79,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Roseburia",3021,1232,74,306,394,203,334,120,101,333,568,2066,87,416,65,507,145,4232,2207,1503,1542,482,7,32,187,453,280,1150,933,1273,2403,123,1837,216,2196,876,405,1452,1848,22,1945,916,229,1657,0,1781,49,172,1641,884,51,3314,1672,889,3002,1331,75,641,37,2608,585,311,4160,8009,585,1023,0,395,1042,5708,2300,220,527,586,11,685,385,2361,1544,1418,948,2503,3677,365,3830,14,1028,562,826
"Monoglobaceae_Monoglobus",241,695,196,639,422,64,514,269,40,355,1077,1919,92,183,228,203,267,262,491,247,387,2130,4,1260,83,0,856,451,1243,611,150,0,1500,498,481,201,428,282,277,14,828,448,20,204,872,921,6,38,166,800,445,359,483,489,422,167,46,590,76,1845,682,0,490,231,548,1030,0,441,234,309,994,229,235,159,515,983,716,1237,388,926,268,1160,411,263,1178,23,410,1196,9
"Lachnospiraceae_Lachnospiraceae.NK4A136.group",876,116,307,273,826,674,105,146,103,277,265,349,96,960,120,46,177,113,1391,158,1485,1303,773,232,1965,58,957,295,3922,369,140,451,154,474,394,2225,202,428,442,117,4767,2091,200,271,66,772,138,23,97,3650,142,345,1171,385,1600,2060,131,199,154,8837,23,39,76,766,69,3301,41,170,1679,3947,566,2851,339,185,44,904,518,158,1111,1083,719,637,2095,641,4522,260,493,2012,391
"Ruminococcaceae_.Eubacterium..siraeum.group",0,1101,19,1519,767,6,23,5,0,330,0,130,626,21,17,279,356,529,35,0,0,0,19,0,563,0,285,0,504,23,253,5,0,66,84,1536,0,141,546,0,353,240,52,9,0,353,0,0,0,354,0,0,181,46,0,842,0,0,0,0,158,0,0,46,2394,1226,0,0,3263,383,214,12353,14,17,22,191,8,0,0,378,1884,0,0,23,2191,3,0,19,0
"Ruminococcaceae_Incertae.Sedis",227,383,108,1255,941,262,356,40,15,571,2078,1292,175,126,129,42,151,39,255,736,130,157,62,455,247,179,65,86,362,267,285,1664,179,94,239,1120,685,606,244,57,454,380,266,1483,4718,139,181,2,1138,140,99,150,68,1065,601,52,1249,273,204,715,69,53,501,414,537,874,412,2581,107,340,263,3016,64,2643,180,273,32,580,258,536,1223,837,504,429,3385,224,376,842,386
"Sutterellaceae_Parasutterella",46,0,0,16,0,3,0,0,8,11,0,0,10,15,0,2,37,4,0,7,175,0,0,8,0,0,0,0,114,244,439,0,3,36,621,0,0,559,37,2747,28,1602,0,2366,0,0,567,0,869,0,86,0,295,52,106,4,0,0,8,0,317,0,108,10123,0,115,0,7,0,107,220,830,29,230,0,15,2,0,0,764,0,42,1709,96,0,0,0,1233,1278
"Lachnospiraceae_.Eubacterium..ruminantium.group",0,0,0,0,1807,0,4,0,0,0,0,0,87,0,9,0,0,90,3072,167,0,0,15,0,1426,0,0,0,0,0,2194,0,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,233,0,0,0,0,0,0,0,0,1742,4866,0,0,8,0,0,0,0,0,1187,5,0,0,0,4365,0,0,0,0
"Prevotellaceae_Prevotellaceae.NK3B31.group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,0,99,0,0,0,0,0,0,0,0,4,0,19852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptostreptococcaceae_Terrisporobacter",46,0,0,0,11,0,0,0,2265,0,0,0,0,0,1291,0,381,0,0,292,0,0,0,0,13,0,0,0,15,0,57,0,0,0,0,0,0,0,0,0,0,0,103,0,193,0,0,0,12,0,0,13,157,1993,0,90,0,0,0,7,0,0,0,0,0,5755,0,0,0,817,6987,0,0,7,0,0,0,0,14,0,1104,0,26,6,0,556,0,0,0
"Enterobacteriaceae_Citrobacter",0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,18146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,87,0,0
"Acidaminococcaceae_Acidaminococcus",0,0,0,0,0,0,0,69,0,0,49,0,0,0,0,0,0,47,0,213,0,0,15,0,928,69,0,0,0,0,0,0,0,655,0,0,0,0,264,12,0,0,0,0,0,0,0,0,0,0,0,34,0,242,0,0,0,214,0,0,0,0,0,0,0,0,0,3029,0,0,0,0,7,0,0,0,0,1840,0,0,0,192,0,0,0,0,0,0,11300
"Erysipelotrichaceae_Turicibacter",44,9,0,159,1085,0,10,78,409,473,17,71,16,8,6129,0,719,0,2,117,13,0,54,17,159,30,0,0,2,0,246,464,0,9,193,39,34,0,0,5,0,0,93,0,130,115,49,3363,40,0,44,27,308,1134,11,164,0,3,9,0,569,72,0,0,78,4011,0,40,4,200,396,0,0,39,0,0,0,0,0,79,225,139,367,572,940,40,0,9,7
"Desulfovibrionaceae_Bilophila",0,0,0,348,372,0,0,99,1158,29,8,0,0,36,0,3,92,100,113,185,24,370,0,21,182,13,0,85,15,31,0,0,0,2014,60,121,0,0,92,376,19,473,544,946,431,75,0,0,326,0,0,18,624,23,360,64,997,0,0,0,154,0,0,218,0,31,0,91,238,750,0,71,185,4,0,13,0,0,8,143,118,23,2592,0,1701,711,0,402,553
"Ruminococcaceae_UBA1819",207,1167,622,47,49,77,37,11,0,30,89,408,11,33,0,7,15,55,245,41,476,56,67,88,27,0,29,87,50,38,228,3565,62,185,0,211,270,45,82,0,185,11,433,232,431,47,6,0,267,21,17,42,35,356,209,81,83,167,73,76,34,0,268,204,193,53,0,879,8,28,121,45,24,219,40,32,25,109,174,94,219,176,103,132,443,728,386,96,1059
"Marinifilaceae_Odoribacter",27,430,0,200,107,0,16,0,0,186,242,0,65,269,142,22,40,260,0,179,32,46,0,15,44,0,2,0,2137,398,147,0,0,59,0,1813,0,0,34,0,730,1388,0,733,0,122,0,0,0,187,5,0,927,132,93,276,0,83,12,0,74,0,0,6019,220,1230,0,538,374,308,0,191,51,6,1829,18,211,320,353,59,68,27,129,491,9,497,0,0,448
"Prevotellaceae_Alloprevotella",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,16386,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Lachnospiraceae_Lachnoclostridium",101,869,584,1370,69,323,64,412,4955,840,635,917,75,25,1732,955,46,188,726,149,478,415,96,143,166,1414,271,1632,180,227,11,1685,386,3564,357,1131,2198,645,306,490,885,260,1160,4013,3947,390,904,228,3338,371,1596,210,84,2831,675,117,4959,464,335,434,375,59,2377,4967,228,519,2595,473,72,732,68,209,337,272,218,186,2464,1357,39,9,165,165,1139,0,471,607,96,1636,1535
"Veillonellaceae_Megasphaera",0,0,0,0,0,0,13,5956,0,5,0,4,0,0,0,12,0,0,0,2745,0,0,0,272,0,0,0,3661,0,5,0,0,0,0,0,0,0,0,4,62,0,0,0,4,0,842,9,0,0,0,0,1355,0,0,0,0,0,3118,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2947,0,0,0,0,4,0,0,0,0,0,5
