"","ERR3446940","ERR3446965","ERR3446966","ERR3446967","ERR3446968","ERR3446969","ERR3446970","ERR3446971","ERR3446972","ERR3446973","ERR3446974","ERR3446975","ERR3446976","ERR3446977","ERR3446978","ERR3446979","ERR3446980","ERR3446981","ERR3446982","ERR3446983","ERR3446984","ERR3446985","ERR3446986","ERR3446987","ERR3446988","ERR3446989","ERR3446990","ERR3446991","ERR3446992","ERR3446993","ERR3446994","ERR3446995","ERR3446996","ERR3446997","ERR3446998","ERR3446999","ERR3447000","ERR3447001","ERR3447002","ERR3447003","ERR3447004","ERR3447005","ERR3447006","ERR3447007","ERR3447008","ERR3447009","ERR3447010","ERR3447011","ERR3447012","ERR3447013","ERR3447014","ERR3447015","ERR3447016","ERR3447017","ERR3447018","ERR3447019","ERR3447020","ERR3447021","ERR3447022","ERR3447023","ERR3447024","ERR3447025","ERR3447026","ERR3447027","ERR3447028","ERR3447029","ERR3447030","ERR3447031","ERR3447032","ERR3447033","ERR3447034","ERR3447035","ERR3447036","ERR3447037","ERR3447038","ERR3447039","ERR3447040","ERR3447041","ERR3447042","ERR3447043","ERR3447044","ERR3447045","ERR3447046","ERR3447047","ERR3447048","ERR3447049","ERR3447050","ERR3447051","ERR3447052","ERR3447053","ERR3447054","ERR3447055","ERR3447056","ERR3447057","ERR3447058","ERR3447059","ERR3447060","ERR3447061","ERR3447062","ERR3447063","ERR3447064","ERR3447065","ERR3447066","ERR3447067","ERR3447068"
"Ruminococcaceae_Subdoligranulum",99,499,204,383,2022,0,143,369,402,233,346,401,423,1043,227,153,360,314,41,209,0,50,435,340,97,57,320,470,208,387,3,255,0,443,351,511,283,174,540,6,389,784,426,517,0,603,833,248,251,517,444,0,406,150,633,291,1261,337,20,246,867,655,322,0,295,418,333,878,750,102,488,332,799,253,1206,313,43,183,365,188,244,599,1109,179,1558,739,357,217,259,392,712,104,517,0,176,320,1482,626,275,1050,545,307,694,208,15
"Prevotellaceae_Prevotella_9",988,1519,2565,44,9,2675,2711,3377,362,0,0,0,0,3597,0,582,0,0,16,1450,0,566,3,3978,7,0,0,0,0,0,0,1088,0,0,0,1358,0,1591,1722,124,0,1835,933,0,0,0,0,0,325,302,0,0,11,3870,683,178,0,0,1430,0,0,918,2869,0,3554,0,346,0,0,4559,0,559,793,0,442,1014,0,494,0,328,15,791,0,0,786,0,1483,5694,5115,0,4219,5687,0,0,3078,0,0,0,3059,2306,3632,1115,2978,0,0
"Veillonellaceae_Dialister",1113,4,0,0,968,36,0,0,0,0,18,304,1024,1217,244,1802,825,240,766,1294,0,420,1170,0,105,0,1220,0,0,197,1444,0,2119,128,0,1194,3252,613,561,26,200,0,0,0,503,1109,0,0,368,0,708,0,0,0,1064,598,0,141,169,523,38,0,3430,0,0,0,1109,861,521,0,1135,3,15,0,1021,0,2282,0,19,0,211,0,0,49,0,223,619,388,0,844,162,114,22,48,474,20,133,2483,511,32,1582,768,1236,0,15
"Lachnospiraceae_Lachnospiraceae.NK4A136.group",266,487,293,231,0,0,527,98,267,17,97,909,62,800,16,379,200,99,19,278,38,771,180,368,88,78,95,0,432,201,13,292,0,83,205,181,343,186,162,5,229,91,90,366,16,113,99,111,46,245,413,82,30,205,315,0,304,9,60,25,195,256,170,19,331,233,48,310,942,1082,426,125,208,632,38,773,143,231,182,166,243,160,0,619,32,313,323,347,181,360,253,640,25,1099,210,229,204,23,1031,446,2697,628,88,307,12
"Ruminococcaceae_Ruminococcus",457,267,295,22,1241,0,488,271,513,824,1507,181,788,2648,492,483,1141,371,509,122,708,371,1737,743,1737,149,1134,198,428,133,0,939,0,265,919,321,585,298,518,388,808,231,767,368,2597,1266,1584,493,794,12,3408,79,511,791,1467,3,1557,863,246,278,907,710,38,567,686,34,688,328,659,1246,957,3482,404,404,1516,688,1036,603,1997,845,2727,624,262,492,735,1579,1588,507,307,525,921,665,0,500,1128,1154,1098,765,1091,199,349,293,594,1701,0
"Enterobacteriaceae_Klebsiella",0,0,0,0,14,8750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,59,0,37,0,0,0,0,4816,0,0,0
"Lachnospiraceae_Lachnospiraceae.ND3007.group",24,138,225,54,12,0,0,0,271,43,249,46,90,14,52,45,92,135,46,0,0,49,260,74,92,98,44,130,95,76,142,75,0,124,249,136,0,0,80,0,67,72,103,141,8,96,173,221,137,0,184,875,0,105,104,7,67,13,25,0,0,0,24,0,59,207,168,36,61,102,109,260,49,167,71,169,238,52,286,190,111,189,255,396,59,246,0,77,51,119,50,125,0,582,77,295,298,144,196,85,43,125,78,347,25
"Oscillospiraceae_UCG.002",1136,2103,804,70,215,0,829,553,1130,384,1032,330,26,277,6,936,742,211,2663,288,38,97,0,372,1005,98,129,2,856,263,0,387,0,451,1936,608,330,632,220,181,516,2430,539,426,372,803,595,1874,1445,2146,154,0,924,392,830,43,196,2469,1467,1009,89,1293,665,0,747,290,2022,286,472,439,433,1268,901,594,201,636,12,1632,625,3207,2838,160,11,414,2587,654,467,368,140,954,226,2251,0,32,431,1184,3543,5542,1065,674,3375,2773,453,1488,0
"Christensenellaceae_Christensenellaceae.R.7.group",22,1504,1092,351,865,0,387,13,1018,551,61,379,0,298,14,1020,75,270,1142,273,10,246,0,526,627,471,568,8,265,963,0,432,0,653,1220,147,112,947,171,541,62,381,64,648,93,2945,1370,931,1093,112,801,99,2767,478,81,0,124,148,427,232,0,754,357,0,450,71,1549,260,912,51,1247,1309,2344,661,3061,1542,0,1395,144,829,1627,159,39,1901,2602,337,676,1167,29,80,76,979,0,0,615,1281,976,737,407,428,648,1738,104,2185,0
"Lachnospiraceae_Anaerostipes",0,151,189,14,156,0,0,14,330,45,136,0,114,538,64,213,244,0,44,92,302,0,218,0,69,87,239,773,0,30,449,24,247,289,16,364,28,16,168,23,23,175,124,198,2104,393,269,289,0,153,173,1180,193,21,744,0,156,35,18,254,0,56,148,61,0,79,0,62,12,28,47,26,0,164,84,23,620,0,765,418,77,97,124,0,130,32,0,35,0,46,0,6,0,256,0,109,16,108,0,118,23,12,125,218,29
"Erysipelatoclostridiaceae_Catenibacterium",0,0,0,0,0,0,183,0,495,0,0,133,0,0,0,2183,0,0,776,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,322,1262,0,0,3,5,0,0,0,710,0,0,0,858,138,915,0,0,0,865,0,177,0,0,0,0,0,274,1044,0,423,0,117,0,0,0,0,0,106,0,49,0,0,0,0,0,0,0,0,0,1162,0,0,0,35,325,393,0,0,0,259,0,0,1442,68,738,0,271,0,0,0
"Oscillospiraceae_UCG.005",30,941,380,48,132,0,288,207,540,581,171,114,28,335,29,172,86,100,869,61,13,212,17,131,205,78,55,0,50,180,4,118,5,78,204,62,0,301,99,40,223,753,11,172,84,91,90,258,210,228,6,0,693,38,74,0,29,50,236,343,36,400,115,0,94,6,507,28,63,159,111,259,645,24,77,256,150,306,123,96,737,132,0,348,724,127,422,96,12,413,149,369,0,10,278,256,298,363,345,227,493,1217,134,134,0
"Sutterellaceae_Parasutterella",953,0,255,0,70,0,54,0,0,0,14,17,28,40,0,0,40,167,31,0,2182,14,1680,113,0,0,0,225,290,158,0,20,0,67,301,0,0,361,297,0,571,0,124,113,772,843,46,741,8,0,191,0,237,7,0,580,424,72,15,0,0,320,0,0,32,416,5,9,199,230,0,0,16,18,27,0,1373,97,765,1242,0,6,0,251,20,531,425,1356,2004,1384,160,71,233,1687,0,0,0,69,0,3,0,0,0,495,0
"Lachnospiraceae_Coprococcus",0,56,829,72,199,0,93,68,604,49,625,29,63,75,68,153,374,83,81,247,32,39,69,764,175,67,174,188,246,168,0,240,0,0,42,253,14,179,318,23,871,304,0,127,140,407,541,122,558,155,124,210,100,117,777,188,0,252,0,0,93,19,316,0,44,39,662,217,30,536,430,273,152,878,702,100,0,38,122,143,248,156,161,71,214,167,392,228,45,17,339,126,70,31,165,115,120,160,261,541,114,665,423,636,18
"Ruminococcaceae_.Eubacterium..siraeum.group",643,159,57,8,0,0,12,0,148,81,136,221,0,14,0,0,136,22,15,0,0,174,0,123,122,268,65,0,252,453,0,116,0,0,343,17,86,34,24,0,44,119,19,446,0,8,13,393,32,48,0,0,206,133,7,0,317,11,366,0,7,47,0,0,119,0,56,60,81,39,0,88,3,187,488,0,14,66,0,22,502,1471,0,251,626,329,101,424,9,1105,20,428,0,6,20,1158,212,47,503,75,6,0,50,0,0
"Peptostreptococcaceae_Intestinibacter",0,8,0,219,53,0,14,0,63,0,21,17,226,6,146,0,0,37,11,15,0,54,617,25,11,0,0,0,183,0,543,77,377,68,8,0,0,10,0,29,67,136,10,7,136,71,63,126,283,28,29,0,15,0,40,19,25,55,0,0,47,0,0,0,0,0,284,0,139,0,0,18,260,0,0,74,15,0,444,0,14,0,859,168,63,211,446,168,21,22,12,299,0,149,38,0,45,0,91,16,0,8,855,0,268
"Rikenellaceae_Rikenellaceae.RC9.gut.group",0,1327,0,33,0,54,0,0,0,0,498,0,0,0,0,0,0,207,1843,0,0,0,0,0,0,0,448,0,0,0,0,93,0,0,703,359,27,0,17,0,0,52,0,0,0,0,0,0,838,0,0,0,0,1218,0,0,0,0,777,1895,0,25,570,0,974,78,799,0,0,0,427,0,1464,0,1713,160,0,1155,0,0,0,0,0,0,0,0,2054,0,35,0,82,0,0,0,957,1706,0,1170,499,820,1875,899,0,0,0
"Prevotellaceae_Paraprevotella",494,65,390,25,24,1510,82,78,0,0,0,35,0,318,0,120,157,378,40,152,0,204,0,124,0,178,85,0,162,0,0,245,0,181,17,472,544,0,260,0,558,260,173,544,0,0,262,198,204,41,0,0,33,0,46,99,315,0,29,0,0,177,44,0,0,0,145,100,0,163,250,893,106,289,45,13,0,0,0,0,0,0,1252,0,0,696,0,143,336,0,112,172,0,0,5,129,0,87,125,74,0,57,412,249,0
"Ruminococcaceae_Faecalibacterium",987,1338,1500,872,67,0,599,2206,613,489,1280,428,1965,1467,1326,622,1427,513,213,433,3050,535,1248,831,202,280,143,780,1019,359,0,1271,0,1700,1428,855,420,318,1575,42,847,566,988,690,1322,699,260,550,844,79,988,179,817,1250,1134,469,1545,47,164,212,139,122,1233,0,1103,2183,1522,760,719,1941,3495,1953,881,1002,1400,67,1773,186,2558,1252,718,3057,2034,1180,1140,1796,1713,2135,1509,809,2566,1884,932,2860,1115,4068,912,393,1787,1027,977,1866,1749,2408,2198
"Barnesiellaceae_Barnesiella",635,0,816,23,104,47,129,15,1206,131,0,40,32,1341,17,0,78,368,50,652,3,344,1812,160,918,20,463,126,142,732,0,376,0,393,104,16,0,17,72,21,852,34,179,768,0,723,2049,387,18,1189,0,40,981,27,0,0,694,805,19,312,1682,965,71,0,14,557,14,99,232,31,0,2125,65,585,0,14,0,268,0,0,815,0,7,406,1187,478,731,181,861,511,14,445,143,1405,9,21,577,56,13,27,157,0,1276,510,13
"Lachnospiraceae_Blautia",29,518,438,55,1599,1808,244,30,354,150,366,77,339,1643,136,727,486,196,278,266,969,54,715,159,266,281,559,2006,137,130,1720,338,1152,419,300,861,66,126,1413,52,293,558,641,335,1246,1486,1087,860,443,670,623,2077,461,350,1486,419,291,1862,135,61,319,367,408,3055,205,650,317,92,91,67,271,129,84,445,168,586,1088,70,1500,323,292,1994,2394,121,882,240,450,97,307,333,125,111,567,964,48,422,291,645,108,228,273,107,814,730,336
"Marinifilaceae_Odoribacter",46,127,93,0,46,8,99,47,244,26,45,52,20,307,14,155,137,87,249,56,188,15,150,66,46,42,134,0,68,111,0,176,0,71,33,151,0,75,64,1002,72,433,47,146,0,368,56,20,84,117,89,0,481,57,57,0,91,29,0,81,298,105,32,33,48,204,84,50,134,39,83,553,51,162,10,122,0,140,54,100,77,376,5,36,210,183,163,89,21,178,11,198,77,109,9,116,805,153,99,13,208,79,166,211,0
"Prevotellaceae_Prevotella_7",0,16,0,0,0,548,0,304,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,0,441,3,0,58,0,0,0,29,0,0,252,0,0,0,0,0,685,533,0,0,0,138,0,0,182,0,0,0,260,0,0,0,0,0,1156,0,1899,0,0,0,5,0,0,0,9,0,0,0,180,0,1372,5,1944,0,0,0,837,0,2,0,0,0,1098,1638,13,0,0
"Selenomonadaceae_Megamonas",0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,1602,0,0,0,0,1033,3,0,0,63,0,0,0,0,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcaceae_Phascolarctobacterium",0,1020,655,100,22,0,0,0,0,0,287,0,84,246,16,0,9,0,0,0,0,77,0,570,0,74,0,13,231,39,114,0,141,123,2,188,0,32,323,26,0,499,897,0,0,0,0,120,0,76,64,21,0,322,0,0,87,0,175,0,0,0,0,0,611,581,0,0,106,0,0,709,0,672,0,0,0,222,96,262,0,185,77,41,216,0,0,0,0,0,996,1077,1264,0,0,624,0,30,46,406,0,327,0,197,533
"Lachnospiraceae_Dorea",0,89,92,40,215,0,86,0,18,22,190,19,76,106,72,162,96,92,38,90,160,0,44,37,117,24,316,344,48,27,0,200,0,162,193,99,0,35,471,35,42,345,94,55,20,192,112,214,140,382,23,238,110,47,321,0,123,130,0,23,244,125,87,0,85,69,196,254,25,0,40,103,34,45,1007,161,326,60,257,133,175,448,1094,0,170,82,118,50,109,36,40,78,174,298,44,45,42,299,39,148,57,38,398,174,256
"Erysipelotrichaceae_Holdemanella",0,0,0,210,0,0,402,234,0,0,0,0,0,228,0,325,0,0,36,221,3,0,0,338,0,0,1083,4,0,0,0,573,0,0,0,578,214,88,459,10,0,0,0,0,0,0,0,848,77,0,0,890,0,185,0,630,0,0,287,0,0,0,69,0,120,340,83,0,0,159,0,0,273,0,240,921,0,0,0,0,0,0,0,187,1714,0,61,0,524,0,175,146,82,0,219,136,0,0,264,0,0,365,1880,0,0
"Lachnospiraceae_.Ruminococcus..torques.group",17,121,127,8,305,0,0,0,43,21,120,27,75,0,62,138,111,0,237,24,30,0,94,35,65,60,79,697,18,20,1414,149,893,145,12,13,8,0,456,108,32,185,35,82,0,82,91,88,116,23,16,266,0,174,206,191,275,128,31,10,640,107,41,152,49,405,122,132,0,0,24,33,21,187,20,92,65,69,325,150,53,143,802,87,396,81,48,4,196,81,65,14,366,219,0,265,50,75,43,21,25,24,196,71,1221
"Ruminococcaceae_UBA1819",9,9,11,4,85,195,5,0,22,6,10,10,5,19,0,6,2,4,20,0,78,0,91,0,47,0,9,0,0,6,160,17,138,0,38,28,0,0,4,55,0,45,17,25,194,56,52,67,0,65,8,8,3,0,4,5,5,112,4,7,152,59,34,160,6,15,4,3,0,8,4,24,0,13,28,7,39,51,20,60,64,30,7,0,75,13,6,9,11,35,0,3,10,5,0,0,24,15,0,14,7,3,40,25,161
"Lachnospiraceae_Roseburia",41,276,127,50,0,0,210,964,60,52,83,229,47,123,0,107,141,93,76,29,253,141,349,181,20,36,235,314,132,276,137,178,36,224,92,158,233,177,225,0,520,126,494,125,48,258,118,167,106,65,235,244,97,281,52,0,231,40,45,0,34,0,161,0,286,86,198,62,511,159,1387,366,309,254,208,289,450,82,928,237,70,238,584,87,256,493,562,290,207,87,968,72,258,306,97,501,57,74,303,811,168,47,166,679,106
"Lachnospiraceae_.Eubacterium..ruminantium.group",0,156,0,0,64,0,309,664,55,0,106,94,0,0,0,443,0,0,47,95,0,0,0,0,0,0,0,0,108,222,0,0,0,9,23,0,0,315,0,0,0,0,0,0,0,0,0,0,18,18,0,0,137,91,23,0,0,0,158,0,0,83,33,0,112,0,48,284,12,0,0,0,0,0,0,118,0,59,0,0,23,0,0,217,85,344,372,21,84,0,81,58,0,0,101,0,0,0,158,136,58,0,0,0,0
"Lachnospiraceae_.Eubacterium..eligens.group",180,168,54,0,0,0,12,75,593,26,137,0,0,115,0,33,198,16,0,97,0,59,21,86,10,24,11,0,113,61,36,67,61,140,20,0,0,289,0,18,123,0,153,63,11,131,129,0,15,15,40,0,108,12,0,0,3,6,30,53,21,5,0,0,47,209,30,178,185,171,625,58,41,16,6,5,0,161,75,35,61,63,0,103,0,23,32,67,17,102,601,80,11,137,104,675,68,0,59,0,21,0,38,198,11
"Oscillospiraceae_NK4A214.group",0,272,150,9,1731,0,184,61,9,0,142,23,4,298,3,92,25,43,318,141,0,63,0,152,37,67,125,0,0,39,0,42,0,43,178,4,234,199,11,8,87,377,0,745,18,248,105,115,78,216,11,0,76,38,30,12,32,37,92,239,9,255,54,0,29,5,118,26,75,57,42,158,331,13,87,402,23,254,75,111,99,7,0,19,9,101,62,58,4,54,117,69,0,0,43,119,285,680,88,108,500,190,86,91,0
"Pasteurellaceae_Haemophilus",22,0,0,0,0,0,0,7,25,0,0,71,0,162,0,0,22,0,11,45,0,0,176,189,0,0,0,0,456,5,0,597,0,0,4,0,47,182,866,0,110,0,0,0,0,0,29,81,32,18,0,0,15,19,138,12,0,0,0,0,0,0,0,0,13,24,43,0,16,50,25,0,545,0,259,101,0,0,73,0,11,0,0,573,7,221,66,272,0,2,0,25,0,0,117,797,172,25,22,72,11,18,279,181,1471
"Lachnospiraceae_Fusicatenibacter",9,69,15,0,93,0,0,23,0,0,323,22,125,203,65,68,117,125,0,17,0,29,154,25,35,113,60,274,25,0,0,98,0,275,155,61,16,11,191,0,19,172,92,73,710,190,169,92,52,25,27,392,52,71,218,72,9,10,0,31,0,0,0,283,28,94,58,11,15,0,202,72,0,174,289,18,665,17,372,82,89,347,466,27,123,160,52,42,63,98,21,0,21,1078,0,49,11,267,0,117,33,0,232,240,11
"Desulfovibrionaceae_Desulfovibrio",13,0,179,0,0,0,50,0,0,0,255,26,62,0,19,0,0,106,154,26,0,76,0,0,0,0,98,0,0,133,0,100,0,0,198,115,0,0,83,55,15,2,285,0,0,218,0,0,85,0,16,0,141,74,0,0,7,0,358,7,0,403,0,0,135,98,153,376,124,0,0,189,397,0,75,86,0,718,0,0,0,22,0,304,44,0,16,0,0,0,0,5,17,34,37,174,0,67,686,0,42,0,0,0,0
"Oscillospiraceae_UCG.003",15,66,50,12,14,0,40,51,37,66,14,19,0,17,0,60,122,4,48,91,0,38,0,44,7,21,19,0,130,17,0,5,0,42,28,14,89,48,10,0,19,15,7,33,0,57,58,17,45,41,33,0,31,72,54,0,0,20,216,17,80,60,16,0,83,19,65,90,90,165,154,78,85,30,67,49,0,138,27,145,5,0,0,71,20,135,31,144,0,7,42,54,20,21,114,73,27,166,61,28,118,169,18,52,0
"Lactobacillaceae_Lactobacillus",0,0,0,65,52,228,0,0,6,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,64,0,0,0,0,0,0,4,0,142,0,8,0,0,0,657,0,0,0,1667,0,0,16,79,0,0,0,0,0,0,0,0,0,0,0,0,25,0,228,16,0,0,0,0,0,0,0,0,0,0,0,4,0,953,0,2,77,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0
"Prevotellaceae_Prevotellaceae.NK3B31.group",0,0,193,0,549,0,474,145,0,0,727,0,0,0,0,0,686,0,795,0,4,625,0,1234,0,0,672,3,0,0,0,0,0,0,728,0,0,0,0,0,0,41,0,0,0,0,0,0,115,1132,0,63,0,0,0,0,0,0,19,0,0,10,69,0,0,0,104,0,1447,494,0,0,152,1400,30,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,463,0,0,0,0,0,0,0,800,368,804,0,0,0,0
"Lachnospiraceae_.Eubacterium..hallii.group",9,83,0,0,734,0,18,0,61,0,78,0,132,332,55,319,120,46,93,51,128,0,227,36,111,103,171,376,42,13,714,79,390,28,126,200,14,22,318,18,23,153,102,234,248,127,256,265,136,147,127,156,284,101,334,164,151,95,22,375,342,63,41,0,0,363,98,68,25,39,20,87,26,90,0,82,132,44,310,0,128,357,403,12,359,65,82,26,39,17,13,41,12,105,17,47,72,202,0,179,12,31,125,174,0
"Acidaminococcaceae_Acidaminococcus",0,0,0,0,0,0,0,0,0,0,267,15,0,0,0,0,0,35,0,0,0,0,0,0,0,0,50,149,3,0,774,0,453,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,308,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,219,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,434,0,0,0,0,0,95,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotellaceae_Prevotellaceae.UCG.001",0,0,0,3,0,0,0,0,131,0,0,0,0,0,0,22,35,0,0,0,0,0,0,158,0,0,0,0,0,594,0,0,0,553,83,138,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,35,0,23,0,0,0,0,406,0,0,0,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,145,0,0,0,1658,0,4,0,114,0,0
